SURVEY_YEAR,BIOMASS_MT_MALE_LE112,CV_BIOMASS_MT_MALE_LE112,CI_BIOMASS_MT_MALE_LE112,BIOMASS_MT_MALE_113TO124,CV_BIOMASS_MT_MALE_113TO124,CI_BIOMASS_MT_MALE_113TO124,BIOMASS_MT_MALE_GE113,CV_BIOMASS_MT_MALE_GE113,CI_BIOMASS_MT_MALE_GE113,BIOMASS_MT_MALE_GE120,CV_BIOMASS_MT_MALE_GE120,CI_BIOMASS_MT_MALE_GE120,BIOMASS_MT_MALE_GE125,CV_BIOMASS_MT_MALE_GE125,CI_BIOMASS_MT_MALE_GE125,BIOMASS_MT_MALE_GE125_NEW,CV_BIOMASS_MT_MALE_GE125_NEW,CI_BIOMASS_MT_MALE_GE125_NEW,BIOMASS_MT_MALE_GE125_OLD,CV_BIOMASS_MT_MALE_GE125_OLD,CI_BIOMASS_MT_MALE_GE125_OLD,BIOMASS_MT_IMMATURE_FEMALE,CV_BIOMASS_MT_IMMATURE_FEMALE,CI_BIOMASS_MT_IMMATURE_FEMALE,BIOMASS_MT_MATURE_FEMALE,CV_BIOMASS_MT_MATURE_FEMALE,CI_BIOMASS_MT_MATURE_FEMALE
1975,46901.15493,0.14709658,13522.03904,30093.29559,0.203066535,11977.44489,247989.3659,0.373403452,181496.1671,234298.6591,0.389439692,178840.5872,217896.0703,0.403827858,172465.3063,208864.4403,0.42083275,172278.1135,9031.630004,0.304409539,5388.656078,9550.16036,0.240550483,4502.699549,31418.04674,0.195850267,12060.33638
1976,32579.2278,0.142823941,9120.063689,18121.52028,0.142293626,5054.010598,124470.5184,0.161389805,39373.0145,115106.7811,0.167995664,37901.38256,106348.9981,0.174957721,36468.89362,95141.25409,0.169521352,31611.80908,11207.74406,0.393177304,8636.995965,6403.176172,0.252896926,3173.913401,31156.57186,0.193065351,11789.89877
1977,30200.85481,0.190074783,11251.22501,16582.98559,0.131261419,4266.344192,108300.0422,0.137337496,29152.36689,100046.133,0.144241591,28284.39424,91717.05661,0.148615722,26715.96936,77366.36054,0.162974555,24713.14639,14350.69607,0.190382135,5354.947678,14474.44011,0.596039517,16909.58304,38573.40934,0.309035177,23364.25918
1978,24736.56325,0.148642838,7206.749409,13311.96335,0.171571012,4476.536157,73571.25709,0.132891873,19162.96344,67100.64166,0.136552461,17959.00513,60259.29373,0.142577101,16839.52695,43853.22568,0.172770894,14850.05955,16406.06806,0.179537704,5773.195272,6816.969408,0.24239794,3238.741916,25756.64377,0.226960934,11457.67375
1979,22941.27112,0.228229677,10262.32265,6042.600019,0.172912924,2047.893532,27095.09759,0.140111983,7440.841772,24212.05204,0.145638575,6911.369158,21052.49757,0.149641043,6174.622671,13881.66811,0.183428822,4990.74414,7170.829456,0.220320065,3096.560113,3826.855469,0.22295286,1672.288409,19322.39077,0.298295581,11297.01621
1980,87614.74537,0.167556033,28773.54323,17941.71291,0.192517941,6770.039172,64869.16297,0.220156048,27991.42356,53803.56103,0.241743585,25493.06486,46927.45006,0.253174494,23286.43355,34393.62551,0.295244238,19902.85872,12533.82455,0.471087788,11572.88211,13519.6478,0.228401129,6052.289535,63783.23483,0.275681068,34464.30733
1981,46075.13236,0.167188657,15098.34941,11073.78955,0.131789727,2860.446929,33854.77378,0.14535171,9644.864562,27067.21769,0.155959111,8273.903238,22780.98422,0.16817753,7509.249328,9328.684191,0.212444431,3884.380933,13452.30003,0.231375838,6100.572911,1524.775937,0.209988061,627.5620962,42577.15618,0.25189007,21020.5352
1982,32636.99666,0.162755829,10411.24846,13738.05276,0.145442538,3916.270626,33219.38354,0.14622446,9520.673397,24698.90838,0.14574112,7055.307271,19481.33078,0.157212049,6002.89188,8771.661154,0.260395717,4476.841879,10709.66963,0.172202687,3614.698421,1720.265522,0.269190706,907.6358012,64143.48112,0.25813403,32452.92593
1983,16281.9153,0.175137822,5589.095192,8874.134621,0.159381454,2772.170054,21762.97674,0.153522971,6548.58904,16386.07961,0.163564816,5253.164762,12888.84212,0.166879991,4215.744114,7566.419365,0.231121352,3427.571706,5322.422752,0.193778314,2021.485406,2338.432889,0.236114622,1082.190866,20430.2,0.182835663,7321.323556
1984,12237.80613,0.144433755,3464.402504,7117.684159,0.156254467,2179.853086,18271.97151,0.148989336,5335.764637,14371.29468,0.156601844,4411.119657,11154.28735,0.172125412,3763.075153,4918.711336,0.220519784,2125.959392,6235.576017,0.232699744,2843.993213,2244.218047,0.211447886,930.0889152,14913.55448,0.224404579,6559.47302
1985,5632.578767,0.142725579,1575.669611,2715.375075,0.138775181,738.5802668,9274.307269,0.175400647,3188.370209,7958.919043,0.190439313,2970.754505,6558.932195,0.207615696,2669.005054,4642.408769,0.248187459,2258.287769,1916.523426,0.217035702,815.2698535,999.4267182,0.177528068,347.7555365,5554.347618,0.263038508,2863.574327
1986,14019.8394,0.277028133,7612.424258,3496.134514,0.20881218,1430.869521,7591.793322,0.225652779,3357.694148,5279.778903,0.284718123,2946.367533,4095.658808,0.347510764,2789.639622,876.331387,0.305827291,525.2918663,3219.327421,0.417730303,2635.828815,2708.263782,0.169443663,899.4403483,3365.80315,0.19709414,1300.224951
1987,28168.90226,0.17266382,9532.950554,4794.243353,0.146045626,1372.349411,17342.10329,0.170922233,5809.736004,14717.50328,0.186338493,5375.177271,12547.85994,0.199284566,4901.16584,8416.243821,0.215478592,3554.499919,4131.616116,0.316577904,2563.637602,15006.75476,0.291101592,8562.240793,5139.218059,0.164103291,1652.990691
1988,51457.4757,0.155834142,15716.90988,18734.62727,0.251791589,9245.754276,47765.74017,0.330945269,30983.37767,35466.53726,0.362530421,25201.08938,29031.1129,0.389425967,22158.71968,25387.27671,0.444499238,22117.86529,3643.836183,0.199815036,1427.062785,10187.31638,0.173175796,3457.825385,25365.8027,0.233145567,11591.29195
1989,49217.49882,0.136134852,13132.42515,26003.65426,0.157698356,8037.437736,83606.60653,0.143544483,23522.48349,68668.94966,0.152809519,20566.80751,57602.95226,0.161703654,18256.63139,51121.59109,0.178121992,17847.52409,6481.361176,0.272085333,3456.427299,11830.90839,0.189750212,4400.038046,19398.77416,0.151461857,5758.821751
1990,46627.46218,0.111653084,10203.95591,18447.49247,0.164945182,5963.937021,85790.80542,0.161632395,27178.48371,76084.66766,0.167137885,24924.59562,67343.31295,0.171065014,22579.36617,56985.00083,0.1946859,21744.58526,10358.31211,0.174113746,3534.908076,9859.450961,0.186574417,3605.461778,37694.21249,0.266791286,19710.71539
1991,49945.02984,0.115599493,11316.29548,26600.13181,0.258884057,13497.24607,95865.57951,0.225273992,42328.20274,81576.101,0.2255014,36055.22901,69265.44771,0.216749243,29425.93732,46359.3888,0.30877844,28056.96833,22906.05891,0.174048638,7814.065984,7022.854648,0.170919382,2352.67027,44764.05783,0.219305718,19241.34713
1992,30790.3044,0.177295283,10699.59246,22825.12233,0.275177293,12310.67252,96801.69683,0.257172658,48793.70941,85692.84632,0.265025716,44513.18361,73976.5745,0.267773889,38825.63036,51273.88807,0.366003624,36782.20055,22702.68643,0.299429104,13323.77631,1989.285066,0.168422075,656.6774545,26225.54073,0.163865468,8423.022591
1993,18036.5957,0.118782411,4199.163447,13989.94805,0.183233382,5024.313974,55234.21635,0.167053564,18085.06253,48665.00628,0.173397196,16539.21625,41244.26829,0.171654886,13876.36916,26657.80745,0.242516891,12671.33845,14586.46084,0.218512512,6247.155431,1065.854521,0.185471917,387.4647183,11641.17818,0.144457896,3296.053816
1994,10439.46053,0.100180292,2049.82328,8592.920005,0.131490724,2214.582982,37895.55927,0.139159195,10336.09045,33373.51467,0.146940054,9611.655846,29302.63926,0.153403026,8810.422532,11248.15013,0.204899899,4517.299867,18054.48913,0.207465381,7341.535668,1201.889538,0.32465697,764.7955593,9846.141003,0.205936165,3974.245974
1995,7404.513605,0.113798208,1651.535944,7059.585712,0.203681688,2818.300341,27577.69845,0.191783305,10366.32661,24328.92897,0.198216984,9451.917559,20518.11274,0.207895857,8360.636045,1610.682732,0.222725568,703.1308426,18907.43001,0.222926183,8261.323961,1057.788397,0.154832132,321.0080801,12398.34098,0.218780202,5316.522624
1996,8123.722088,0.129016756,2054.268686,4724.157056,0.262846845,2433.790364,22645.94973,0.269340813,11954.97787,20395.39745,0.278934022,11150.38165,17921.79267,0.291568778,10241.85297,429.677407,0.285580949,240.507056,17492.11527,0.298157154,10222.18263,1438.31466,0.20711642,583.8812241,9580.185829,0.279861701,5255.009112
1997,6451.422311,0.125070332,1581.487805,2516.14187,0.13944673,687.7008021,8197.229814,0.138508194,2225.351653,6623.642969,0.15347944,1992.522303,5681.087944,0.169295538,1885.094369,478.2187933,0.252196218,236.3857431,5202.869151,0.183403501,1870.279858,1409.002692,0.265871709,734.2433484,3397.338546,0.184937873,1231.461264
1998,7491.25654,0.108768675,1597.035535,2827.081485,0.126531725,701.122372,7516.389509,0.121959919,1796.728574,5961.685816,0.126570885,1478.968669,4689.308024,0.134600569,1237.119717,1441.841001,0.221731552,626.6152213,3247.467023,0.156626472,996.9330341,1963.141094,0.190174528,731.7452847,2277.504973,0.158040621,705.4790699
1999,13768.36795,0.304482694,8216.770344,3690.37911,0.217205396,1571.077705,7785.642196,0.200388039,3057.893167,5410.818493,0.204903254,2173.040863,4095.263085,0.217559676,1746.289657,1901.527975,0.336222082,1253.097961,2193.73511,0.295569638,1270.866927,2881.670274,0.193178322,1091.085409,3825.935615,0.215557292,1616.428308
2000,10407.1975,0.144094202,2939.248956,4768.874169,0.217522915,2033.18524,12924.38847,0.271310006,6872.771191,10013.42524,0.291256326,5716.287959,8155.514297,0.326415149,5217.683491,4733.957103,0.493268824,4576.822371,3421.557193,0.361826482,2426.499604,2481.632152,0.152562613,742.0644014,4131.008092,0.282045754,2283.661248
2001,15385.02331,0.140133053,4225.662547,4082.238834,0.125022837,1000.331241,13935.10199,0.175916037,4804.759513,11463.11667,0.195428239,4390.824739,9852.863158,0.214258624,4137.679367,4891.521155,0.319719687,3065.274605,4961.342003,0.183029644,1779.822418,6358.064095,0.204184253,2544.504467,4561.630348,0.225032358,2011.968293
