"SURVEY_YEAR","NUM_MALE_LE112","CV_NUM_MALE_LE112","CI_NUM_MALE_LE112","NUM_MALE_113TO124","CV_NUM_MALE_113TO124","CI_NUM_MALE_113TO124","NUM_MALE_GE113","CV_NUM_MALE_GE113","CI_NUM_MALE_GE113","NUM_MALE_GE120","CV_NUM_MALE_GE120","CI_NUM_MALE_GE120","NUM_MALE_GE125","CV_NUM_MALE_GE125","CI_NUM_MALE_GE125","NUM_MALE_GE125_NEW","CV_NUM_MALE_GE125_NEW","CI_NUM_MALE_GE125_NEW","NUM_MALE_GE125_OLD","CV_NUM_MALE_GE125_OLD","CI_NUM_MALE_GE125_OLD","NUM_IMMATURE_FEMALE","CV_NUM_IMMATURE_FEMALE","CI_NUM_IMMATURE_FEMALE","NUM_MATURE_FEMALE","CV_NUM_MATURE_FEMALE","CI_NUM_MATURE_FEMALE"
1975,244793807.131868846229464887667784336415,0.1679662443500705151745433051860954960842,80589508.99122721327289708284228331201128,59345024.59064234556116386015015045888898,0.1991266017938606700588063000791107731368,23161659.23701110702231350649204778450705,292863162.094155216989406623285503252711,0.326505894349966188196469915513296513358,187418235.376954080966327330412129114481,263581271.907423107322837005173110676079,0.3507586268949468654275620730188988851059,181208673.81856386835216747975823308346,233518137.503512871428242763135352793822,0.3693049399502394783183538534063699210786,169029227.426132109398358109905591829425,223068489.293144863467895868763825855356,0.3859862267349843309717133241699748758741,168758674.3920391062550924948107932029,10449648.21036800796034689437152693846607,0.2948545579999136859170713675810716698496,6039007.75247239018326526624093068798294,98726976.0482918866227290919950165475101,0.2521474769719054574475051956885224344234,48791765.52249937867797370651791580522284,153676015.492684935604725504207251992324,0.186227495892526887885555358947125917515,56092651.10613000917519592077002068334302
1976,229846516.829772320865390151857134080762,0.2144472802422465782640573963724572503007,96608322.39830492173531739689520570337013,36040451.24833542963250481294479746877769,0.143499156483022852232035712924301754465,10136677.7326711385451303865096792951035,153869500.297940390656508656998216457761,0.1473555263135590951215297723560331343281,44440101.55201439475363654763184579768548,133880649.141884937122819676639207360913,0.1553101276468912713334768030093236136107,40754320.58704263531118338206748897695977,117829049.049604961024003844053418988984,0.1638119365979667678665223180547301852433,37831537.23613270447018863554420424970149,105649880.888337100791859126959606489886,0.1584370225340587303361241207109173131957,32808151.01569112861676955582931189584152,12179168.16126786023214471709381249909757,0.3771001318066539669114355536821959947395,9001821.2010626465199752888102399252974,147038080.435905917294633185105902947683,0.332735565100570878105633677454137673567,95892605.61888292706286664067568493046697,152711332.649917177247422390251009941056,0.196776935497257925390728144352663532465,58898133.38692397917551136653513298755251
1977,250619564.939208536693280357214383298087,0.3105245577391210944154730258734630951366,152534117.944496593017909441691154660939,32880305.60322938420617678038671802415908,0.1307891296560575769788627101340392232314,8428757.64323626616894636390162970516085,130513592.857836200405820509500913025354,0.1207670799623416990266358771201163111786,30893021.18947623324548650198505705362582,112929623.498136597246405642310949371871,0.1283429463332112675264452345516852614022,28407692.39178015480071033505080358598528,97633287.2546068161996437291141950011948,0.1317913195899833015601331373398748638288,25219750.73585735936836748510397204697433,81888134.82597330804744483595788732854269,0.1429395469628531723493238066611147349042,22941903.67156902154853980970371703074078,15745152.42863350815219889315630767265214,0.1799098876307811956804091198308707091028,5552108.86416335313871166998969885337,274612638.835503134613940047777801579636,0.5946461403090706423766232191560545892978,320062797.696696647745588506864796875716,192106340.577545924826715790454219007982,0.3059498156893790493853932380285272854678,115198803.005224060393865904069854543543
1978,198599882.665450603678432259471492857334,0.1620417479646438649419222606089556333898,63075685.38005826987719384604800303957162,26479622.93722865924263407254629014151535,0.1717176212056403101284882170337719392887,8912155.00795830251928135590421570295723,93434350.96101345132227113399063871771394,0.1293178285561752031606565588645657650393,23682145.66251432901014292455941131646984,79562157.28944137224053466999086925891221,0.1313518395487383556415650823624944400061,20483246.00813100630201154147769685609726,66954728.0237847920796370614443485761985,0.1370589917115353829159578506527327490941,17986425.12598965026619405142818764988614,48080493.28978384599837490822341104041031,0.1649985725546431080155426128380795489055,15549097.01065336478266921821848606967761,18874234.73400094608126215322093753578809,0.1759216843503150434838170104859927475476,6507958.84384818703339733331950096014908,153198693.763636477209215617032115122682,0.2711009011018080167328768759301784695812,81403315.6968058989646139040232034690365,136811051.147419173000181035796814405539,0.2279701148521502685506710147569464170808,61130108.84451628515519526463810884570368
1979,159777308.319271112878819538851150449117,0.2549694718138464385374688066860564090671,79847138.38360519025843014082643013690089,11941761.94670624249439399900571546710525,0.1725135229483476835280447624107884184553,4037826.23032815244413253911348971543132,37042722.84199616127830892853062320810082,0.1379574315117964384218275058355476920713,10016225.04299088016592346719062601561224,30872372.48158845089188990573168192331945,0.1434192417868879543991667880665102908062,8678276.81680472825630310026717668449428,25100960.89528991878391492952490774099553,0.145414660104400880611734688966114669641,7154093.48588958546359679018285737151702,16443141.93046512259077354139658830594766,0.1775883992943002197746602285594257193895,5723418.05940856983110580277620821966922,8657818.96482479619314138812831943504791,0.2101339020920072397262122927807147364724,3565830.51406224170302776229688953148471,56681910.16773930524104307715200192105216,0.2293104654123007194968593972676822967149,25475600.19400414003930295032888074516979,131371006.772853393989333168245161763421,0.3152542001086291433891537177250171635993,81173912.84897674880774371157729236110566
1980,556607171.380372483466332234687567725109,0.189973053181428317126884208585168222377,207251112.988823459236551233984378992119,36304941.99981331236387191315716719169227,0.1904907830823344011882127501972031269138,13554883.38935421199606013299515948383821,90503895.51221976831791868083431009106667,0.2021718374435025043805051667230792618905,35862784.14894045241584173686153653760114,66829524.98221197078792874748639646550478,0.227158276778569340348380031612224793694,29754524.27646365741861144295438862116405,54198953.51240645595404676767714289937458,0.2379100811813757012158871686261823218597,25273175.76296116617328317345397748443296,39165196.44939027979728404329984066665338,0.2713246432284171075426871349242297298615,20827906.58905930480103894445429216060334,15033757.06301617615676272437730223272108,0.4601202439387349833033892937823696066757,13557978.4956153386245676167776157871933,174778431.078224427807973763699200931735,0.2239276892481357274604942671875970023091,76709951.19545224106547651782207327347894,430876550.087729603697289356131581690976,0.310603196992557418956156113392819343736,262310002.574090319002562561647845024865
1981,217024963.760375240422535257523732843085,0.1699397742801010558746413556177660633413,72287099.77498714882555484596162909165604,22463041.72040130006287805933964144511905,0.1325510525014786271002476296147672735055,5835899.65195068231557137963051999754893,51273754.14795794917367672438938862205049,0.1389944894134445874810093449008735433075,13968467.78508756727552913589536505260992,36673282.01635573588121683041308437993016,0.1493251365844354510803236025366712995683,10733435.97834000758122843142093140630611,28810712.4275566491107986650497471769314,0.1639878288373874103644992856536481564371,9260228.10937656620600768856387045600221,11810618.77752430339892224518807483781423,0.2060383941686046316597288680069496442748,4769544.21703500456200366058201685198719,17000093.65003234571187641986167233911715,0.2243237488201511120771332423708306248337,7474508.48622304757466620081791761832602,26406963.13254248640739249772875783158922,0.2429692853145436137387947791156767682924,12575518.68089704554156268738814606960493,303818892.469405301597336476971447865934,0.2885886349116389604157476144481424208188,171850211.698698936048979392818846366042
1982,136078542.403776330558371610665070537968,0.1471952895951613486703610002913387557446,39259036.09535014896045384039804137943421,27857951.56218244803597320160416542023954,0.1468712287977596714200806977593466057998,8019401.89234336138403462099198178626583,54002011.31969221068404580052148398005051,0.1483514791981909728910815484328502894157,15702105.38754943318491427634317554860275,35730281.95888116995090669851765148811457,0.146524787402755511196699597917136876838,10261329.0570165253554008541618582473025,26144059.75750976264807259891731855981144,0.1613751277826350332213802358640616873708,8269241.92888496908674863131156247335189,11557303.79675833174988092532815286456863,0.2676136736006535222063639854539712883266,6062069.35089978465591325323500626626391,14586755.96075143089819167358916569524277,0.1764945320737131474600212270901528409685,5045986.02882188892129759010164936702806,30187422.2932621814555408678454184960119,0.1691549655961167416676246273221894489183,10008450.66372633523920986880598570350808,464233052.342957863652002971019074718302,0.2926107494147181916277294898166721726831,266245579.444343794747484275668507701317
1983,160744939.28566539329563579108257300644,0.2005177609440279144477031430418869539821,63175142.00494485574745737407029393178361,17976190.48644297151049856235270040770432,0.1588675207490830546600157244173808430569,5597432.31758511844463560826739994067063,35685915.27480553702408714852174979114394,0.1524622644139699977754679193345940336176,10663880.68294458789865567064407489774454,24121768.8188087516500395198459870870943,0.1631659963980791699934216612683453306216,7714270.79064189252505346039805787245419,17709724.78836256551358858616904938343959,0.1658448230355685446020356909432944681977,5756649.70012783809596524216698022973731,10273553.84438479878631943853469535999495,0.229661885595569879258365801616257767891,4624509.74543129640344216141083612260783,7436170.94397776672726914763435402344465,0.1963128833688110982321282642774119269156,2861239.67210187252337904782774388956928,126639762.674964885680803299291416726622,0.2653641702064306358814022707190621021753,65867084.85326747227320048850557014522698,128209854.49178810438908636943007433297,0.1962622829701634250086990851520616177722,49319007.13398835855569373798157007494307
1984,105020718.901140086496214941719706273695,0.1630438383132643729327962326160720096511,33561042.97963813298184345490605714090492,14281660.70830500860489137688114716947997,0.156475935913048530401663333849148545473,4380083.00242029010377112063960704361875,28466251.13741209368031060831053164331015,0.1460567107786841067428838512563508372116,8149066.53828755588656810177654331930602,20100822.67396104479303757242009415421829,0.1511608216995672963594719858336880390485,5955375.46957716025009257238355360033458,14184590.42910708507541923142938447383026,0.1658058025815742188264349860208569771136,4609699.30476247230666627095922521802585,5718583.94060082761071720718776552318869,0.2075738993213943346350465012296351394343,2326576.38360854859403788070500955136812,8466006.48850625746470202424161895064161,0.2253291767527207385258450033937051806358,3738971.01397908195864603682784751574525,78524434.61736279368765022669484431141734,0.1967320956714810834826162463897346616356,30278622.10403627729934363056143277951528,86430286.57248520545675010947911158935629,0.2306203920234502562663098205538783015072,39067869.68120954625722598309062254658009
1985,44243635.22486648504627101279723947079205,0.1265574144304573467758611026495054279873,10974745.75496428099974793995422956445178,5370120.38446072880286813153159641324944,0.1385283940454527119405769512472524158088,1458071.73927258395002187827361046579012,13231315.12867933319775493117601147158792,0.1578458726648253114229200986973387823443,4093476.62665980172555692643807386771686,10429625.59932675933274538353875326043736,0.174655133407063496676251879884015172045,3570311.79485483386532324262951354396427,7861194.74421860439488679964441505833844,0.1933841675014092275902166697270277769965,2979651.97830725018442758251282889115472,5196833.11456092943124659570153977410576,0.2380667248842086085260003032608439682465,2424898.35713251062031724722481729466227,2664361.62965767496364020394287528423268,0.2118652446138512407292005130603553554463,1106391.83167807796413148425744488952753,26419816.1957189485524150900279111390828,0.1684997792936589804152323080087195650843,8725397.06799705253341448205568840732276,29343788.62767289995515256765076599359148,0.2554111861937366942653530052291014075813,14689674.44719194415096088347848415612924
1986,108608309.962211237796798256202392776076,0.1637717635757761246008668403534066909274,34862469.9445319044196957587217996116972,7136356.99197249447352502277278877421487,0.2105763838609920545911553610254275986355,2945386.56864892219745201780438271540244,11942493.37592890397087334238207290872193,0.194101466678295303208880658285401334359,4543388.74092470801451034424958979822979,6987774.56457808114048955951868879498517,0.2379696310979600857394048132035072552766,3259241.14524357508492155878051630975365,4806136.38395640949734831960928413450713,0.2994219256663030587650546655304717402721,2820562.7177542568176627225627269815563,1193878.40810862866105492524883228798151,0.3192304948209367819598499312309644859218,746999.8941540376698089300004367593666374,3612257.97584778083629339436045184652561,0.3625440007635987512897047215352576244576,2566820.81837398412900531657072553990305,61563706.33137819762099881827444249730931,0.1632918903853109483823153218509120670858,19703593.81251468924292816541634530244922,16940840.47313563856174217159790866192969,0.1809268008996436350937988584145536066713,6007502.05985704725722788107579295479031
1987,233332914.633289799762679682620490661974,0.1636769874134034665054181555363506063309,74854807.92186881136111893652164187268012,9609771.64780782543531066914343091118408,0.1440071363548690201604863755406460056047,2712396.36420903110118323149873038634795,25530392.58396765898812317961429710126843,0.1568573883852026289759133494018512790627,7849076.18213341953466712849494282916175,19903674.43757885810397664702457439572424,0.1745347188319387092010803100275732760282,6808809.15450313277091904529705148962489,15920620.9361598335528125104708661900843,0.1868867566999234326998969160316377445386,5831692.29435930769121040683281392683076,10965093.90251796484510737182904188355333,0.2140958514062405676415779798660957714789,4601258.98502556296710676105820854348848,4955527.03364186870770513864182430653094,0.2767361642443272630526668863072416929548,2687892.14447427530402734533878734808952,198004663.028121359872214226527331270946,0.226644114144764909082738895805990739364,87958119.2391408494785174742764184065536,26348846.05970635421417133165342898955559,0.1470192091569191192232790233377815075573,7592621.55939504806275713885742687319142
1988,351549689.082287709698362607474503561191,0.147729566238792226425686428929842200293,101791194.83583692380833720364113246665,38242690.14190322357197266291648011252672,0.250604722663600734844708764797041776214,18784245.56356648334253652870465311617214,73767897.44517153790752344564258946145037,0.3048054653945105678034964922637322770414,44070322.29142207393792776373629300898806,47392060.97264934682370535876531630851688,0.3404680986434432287372598087420354072598,31625550.38469802557101720882222915638457,35525207.30326831433555078272610934892368,0.3738122818954235903519068729199715822215,26028327.26141168417623964830540527625642,30769252.84638837612985122450965964088635,0.4307746599204027814598071319298764198116,25979044.2845793625038264461132746402106,4755954.45687993820569955821644970803735,0.1979083498602360884003148770547414997367,1844836.47320022608341258945584369129901,186190558.731677444726424674742374314583,0.1726111105443110647147239037279848284869,62991575.86645960963215056599876103686941,122528961.551865827853779717184714698763,0.213855770635257023408416531711153347262,51358909.97571160810027541214633158038072
