"SURVEY_YEAR","NUM_MALE_LE119","CV_NUM_MALE_LE119","CI_NUM_MALE_LE119","NUM_MALE_GE120","CV_NUM_MALE_GE120","CI_NUM_MALE_GE120","NUM_MALE_GE135","CV_NUM_MALE_GE135","CI_NUM_MALE_GE135","NUM_MALE_LE104","CV_NUM_MALE_LE104","CI_NUM_MALE_LE104","NUM_MALE_GE105","CV_NUM_MALE_GE105","CI_NUM_MALE_GE105","NUM_MALE_105TO119","CV_NUM_MALE_105TO119","CI_NUM_MALE_105TO119","NUM_MALE_120TO134","CV_NUM_MALE_120TO134","CI_NUM_MALE_120TO134","NUM_MALE_RECRUIT_PRIB","CV_NUM_MALE_RECRUIT_PRIB","CI_NUM_MALE_RECRUIT_PRIB","NUM_MALE_PR_PRIB","CV_NUM_MALE_PR_PRIB","CI_NUM_MALE_PR_PRIB","NUM_IMMATURE_FEMALE","CV_NUM_IMMATURE_FEMALE","CI_NUM_IMMATURE_FEMALE","NUM_MATURE_FEMALE","CV_NUM_MATURE_FEMALE","CI_NUM_MATURE_FEMALE"
1975,8475780.89544291762291391216416112958768,0.5672913534845638746835077910550636427038,9424144.94338826614829991090449959705602,15288169.2131101017287940913921708852175,0.502193264007872259415454573136639873507,15048126.57175939498467270789105688942036,9051485.72981510833900974164542073348342,0.5014699661391763816667911924638565469459,8896534.5551816563713622345890865378444,3859872.02579448045740480575918842828387,0.7281744140324804632008282686064906358511,5508893.69922158788068588413798691357528,19904078.08275853889430319779714358652129,0.4721537785248352848850679255636345840979,18419659.92266249445162304728555066402543,4615908.86964843716550910640497270130383,0.4716381417961205008473984134879170033013,4266995.8166831910225543140040909569595,6236683.48329499338978434974675015173408,0.5181044155125018304943254123335620719223,6333256.37166409198712917446941210443672,4587707.67048819727461362200578414554211,0.5080354698724920654782003836418878281756,4568207.71514765031311027588700047265441,4463778.05932691106439611963963658794135,0.5018368273552599594505421909693285657541,4390572.90984884737657606179289310575624,0,0,0,13147586.67555086525062255397833352958982,0.6078599399271437260712490228168115896531,15664106.84370303791403693755913245446165
1976,4959559.35798099580805862519337629621686,0.9540814094627834828600921944543034903735,9274373.82985061821667041041339626403719,4782104.77058634349313267600297673238168,0.4452162873095495385477502817113763386864,4172979.02571204449636463020773603570231,4012289.16132923013117408083573152670575,0.4714596449229039903039656827068115809292,3707599.54972345836009574756299431829127,4052225.57806219414721068275340511014267,0.9710104553078775920254990908976388052683,7712116.67098622127657864068095894383846,5689438.55050514515398061844294791845592,0.4373326382130390732931347023119677056122,4876827.25563703279507737902154239939986,907333.7799188016608479424399711860742316,0.8842678891197512803018650937586844964173,1572559.20753985368699405795765481087824,769815.6092571133619585951672452056759281,0.4865060944157217980311171508712722436262,734059.171540677681641963952081683084573,1589626.38375212187055644088329295595141,0.5101144602430140710798316804823956174735,1589347.15328210528169462124674173873443,2422662.77757710826061763995243857075436,0.4637622083365656310825227814649960164381,2202137.30197655698191552809940120627,7369388.06126270178743555628608554031148,0.9663411624314797161446142921682132932656,13957832.33003736508667166123814255470427,769149.6492004134454870946303536070029405,0.5126748570544078725225362379608545085083,772874.4254562490501980292684995487551047
1977,4215865.19421375176209847195821137456148,0.4568024231056632811584183638502531000526,3774602.17495919228701102652586819988152,13043982.79632610303211636957477996276112,0.743361825986540140717753734842412786919,19004941.78444341622225915845386032313572,11768927.37401475393731730070655130337727,0.7713344461199826413636517662800347970282,17792446.99182546515217974068594512451235,2318779.13622292981183804360649485911026,0.5948868163530641738695982199590643340874,2703645.83082019097126194738602728111763,14941068.85431692498237679792649647821233,0.7025705792445584988657009213282216291501,20574424.58304013704946455928461331270543,1897086.05799082195026042835171651545121,0.5027914173251474210059555719501534559863,1869523.63225456507387450085374385866643,1275055.42231134909479906886822865938382,0.5867738517716078315658205552631173669774,1466411.59548893258263717010518824531392,3493772.45627264837626065198101801266864,0.7800035363377675529216532070545384920559,5341303.54726222200971297603387624608426,8275154.91774210556105664872553329070863,0.7699040128908394167669453420542233192608,12487306.95778750201739054250970349478678,851600.6839997440975231186491659936779822,0.8248543904506464984715584385858942722019,1376795.26369160658635564263335016489856,13880050.65304499252165400535650541428665,0.859751472814916133065875339811765126927,23389452.22373409878301149498760751505097
1978,2421458.36350289888643423103359141488987,0.5016915968314632096898767039126816431537,2381057.61357147523058024409454832913222,6140637.57070207331609644851359553969408,0.4955786593856137166351181321481790746651,5964611.11272047190697052388477738145639,3922873.84680701909524773974692811290255,0.6155168889150896999288834226217430705795,4732606.40735433209953804955437782548509,464031.4799781048827987811848480661171624,0.5076578527016259017373172752402032750964,461715.6804348187853167022300695348030029,8098064.4542268673197318983623388884668,0.4427479616986661634589052930412634135603,7027387.00039419924337664637041972294747,1957426.88352479400363544984874334877271,0.5389145065424506248100892438857801369671,2067576.05633427501700973986220208376695,2217763.72389505422084870876666742679159,0.4010679641600643482160941929701958864047,1743369.00419203960393639711841047193757,1072211.38752261542876706782237300008795,0.4217877042091742786591527908553825068313,886401.3359573906165264266338522086504586,2850662.45928440366648067192455511281458,0.7103729038402898603679468430241486859311,3969065.4033779132342979181071790503929,60923.0515977299823306832499435732468342,1,119409.181131550765368139169889403563795,5926514.31970189390643755439269022352962,0.6624260129313066473362894221781562953349,7694719.4127056247498907979775585492932
1979,79354.7517777306337037256130691824517599,0.7042605266889749975410144172681384641449,109537.3817932246041352806464168643863338,4107867.73587980291562986168736994983238,0.325947389278917751766524098075363275063,2624339.57746571639879475483030695770615,3017118.90907808866291910608270703416768,0.3104029706762254739623384293662040413262,1835584.43763205264048354740521768299636,35841.6428078131916380004380227120880358,0.9999999999999999999999999999999999999972,70249.61990331385561048085852451569255,4151380.8448497203576955868624164201961,0.3249012341570421551065127458799593729861,2643625.9694972538272940940230210933729,43513.1089699174420657251750464703637241,1,85285.6935810381864488213430910819128994,1090748.82680171425271075560466291566469,0.4634592673436629004676328158682255831398,990814.5981659454009140437179510187776246,1547007.97704979760615215156831619885868,0.3557872877474220484895517000119555268308,1078795.31366522030583928302613001599509,1470110.932028291056766954514390835309,0.3282892112246196896027178822216397903166,945938.2542449859973987479954210974218563,142416.2481602550742524250083626990255022,0.7185636861058046212097919559767652249944,200576.8827092081280096537851291297009541,1168934.53506243873222242840369158749296,0.8118837346225394667616690162071674130156,1860116.3142772789438720811308363329879
1980,2732727.74542923398548552918341260342371,0.4656902242007637277541948820681144148472,2494305.00903923161751936235336065860788,7842341.99925594952140727722712375045495,0.4077843025953732435591587771368191180952,6268048.56724674527673780510645753808486,6244057.66868521660918018225830031701702,0.4197862775428977311949009303642842307198,5137492.66198108056188785289400610819154,2038620.71991620794359694151941491214087,0.4902324511207958009167583807026829430368,1958820.14356312135658823158552433268374,8536449.0247689755632958648911214417378,0.3959513768317575192544088733523718790571,6624836.73943832365614263032692851365845,694107.0255130260418885876639976912828325,0.5575080025808878730153239941402280608822,758461.6338874119134737582872936421208357,1598284.33057073291222709496882343343799,0.4655303311757461228316291419221903227883,1458337.67409825401221117027479714565589,1727456.40887764856075584108608532378985,0.3696940447046598536139147872835426266744,1251715.47982397057256786872862997128152,4516601.25980756804842434117221499322713,0.4864346294267144943418113410264156570117,4306181.26976214334758984889051936925894,781223.6948559745263272025818869525252421,0.7743167338069075757544820352497284453729,1185632.57635594714025038740504048742707,182902918.911677912887337676173074157902,0.9774577964813845602031608371431106644973,350408572.815267223042902702984242294533
1981,2099475.40939317091329830458515602688521,0.3237093115715307738710695096136911423251,1332054.68929460133620947695154586996956,3834430.63249695544359791771233407190285,0.1795638731137163307848462130156907805143,1349509.42249177951018139421756143374635,3245951.06597803304128186896669247985674,0.1768231047453731905073937305555597793427,1124959.92486206742088776708064639499075,1445685.3428471349614366471673613981601,0.3693257627254042592726005869334575595463,1046500.53013959312186067530394147824614,4488220.69904299139545957513012870062797,0.1764524030530760178127983185783761682507,1552236.36244623732706238885724674830463,653790.0665460359518616574177946287251029,0.2652932393038532225733032978708782528642,339954.3257742120922170590411706691942243,588479.5665189224023160487456415920460737,0.3326166330387997701263559058094446414983,383646.6603742064894171894965824858945161,574460.1569119455869969105803743747266228,0.2850486607711757561588121727730278684925,320948.2328525331639738821359289508172814,2671490.90906608745428495838631810513012,0.1818619293603359471496971202596574893473,952251.2823430586614806278701790635848928,826523.8211833312630928056839303853655725,0.4079894463115599479276613327410681993949,660937.4724890881260990262096649834354057,5433490.76954159996067830669329380813681,0.4372405663164019484374758174036479582216,4656455.45905265111555902283879207664006
1982,1371282.791361104330540729378854863009,0.2812962935862213553997621305781288789586,756044.0626701548051446421434659709693842,2353813.26016025279454887086481372611478,0.181137370545295487287921948512267354516,835672.5476121523281102364997012287272744,2071467.8995472158146726909625874587087,0.1876980107212407538644879015281645100211,762068.3918751219827030236865939069020771,783723.0318709530683242697847238310013463,0.4048533050057823337342640497704242408481,621894.004937730565419497948210633863056,2941373.01965040405676533045894475812243,0.1743860337826303592177690337354208617653,1005351.37455326275320697056361269819222,587559.7594901512622164595941310320076495,0.2263762685736495568367704549343570976603,260698.7883981263854396846231189619389669,282345.3606130369798761799022262674060952,0.296459297525638494784220633610778393675,164059.6582432494840040387397169432671179,512683.5421648973823873497116519672517182,0.2261601262622166249710633903209653873973,227259.2062720043596496656081264255988648,1558784.35738231843228534125093549145698,0.2061064205969493726499164282604009620757,629699.9101898677125238755467772512817058,876255.7911382118373300111875265516053109,0.5142877697831931030038767571216963024723,883269.3677047937199707310467329678320693,7837003.99137697641882707823828381292238,0.6484256217234617598311706273378894030591,9960159.80369341986661616802803441075107
1983,1030732.36067481999403884501480455307148,0.3569289770546371287422694490078662089248,721080.5643410385821680712145505619338298,1851301.11120247497935628493610585217789,0.1863739963275527925697968749999924390154,676267.3975408711726749906687681739783511,1321394.69108499038730170429650460803238,0.1700674412434561154592798911622343040877,440463.379411602436429810632145704365315,544396.2937678117901232343647906446230517,0.4090168556018135882767410314522505955456,436427.830145255468625178411927153160135,2337637.17810948318327189558611976062632,0.1967924319429686381617269716958563371533,901657.4383497089032497205758345993552925,486336.0669070082039156106500139084484257,0.3280563132006486565488836168104406714278,312709.4094885935232391944683271202700918,529906.4201174845920545806396012441455099,0.2923439733555946588818365818680503412586,303633.2987930175516126452149128027118626,340213.4448071058788221836437636909860735,0.2926174355323057776525113266285874907946,195122.6760760112697068986927818129293075,981181.2462778845084795206527409170463074,0.1975811354345689207582781244725976489053,379971.293225112050821185026278717258856,463726.3919977821914490414210090874101318,0.5446099927742682109528225341749090449611,494998.0529104932693248086275059901110476,9307968.74908857760258460147130435334697,0.7804939672394905146130864044609289833985,14239034.37359798991457469507526579838229
1984,517573.7560594448632694901304741208542778,0.3969358697177389949714426772131994065066,402669.4344488839547160372097905225564471,770642.9437237103294277261178435221216073,0.2249034192749463906827073175377337416094,339707.6568438021790582519010721535090063,558226.4572275133206333975974679980301518,0.2465119899317581150001392131184065688731,269714.6490152711408167805743207683898594,441226.8093645080870537366825609208123744,0.467468298918409321796626805789199370712,404268.7101812147887460193365175360490422,846989.8904186471056434795657567221635108,0.2205502490804916281345439242210345916789,366135.5093489622202247453653874246086013,76346.9466949367762157534479132000419035,0.4809668124375176120796983653387856454973,71971.881278753590746962510676140829824,212416.4864961970087943285203755240914553,0.3328470083662732048096472438309419663951,138576.2964335507282374539740590161101729,181370.9781080306873522033464553508050393,0.4037411269169912511070301886698536095886,143524.7692590915885884859064198942931163,376855.4791194826332811942510126472251125,0.2749185714660709505567590734324713400817,203064.9571386321945463772886149388699134,465472.5832709196979965081863073078512612,0.5157178128714594684835663392792421099333,470502.9050883697197832401474529865013293,2769190.35132372505136098443748715713009,0.3798137901514501016790651832019305148693,2061482.2986546957903459681244690391608
