"SURVEY_YEAR","NUM_MALE_LE104","CV_NUM_MALE_LE104","CI_NUM_MALE_LE104","NUM_MALE_GE105","CV_NUM_MALE_GE105","CI_NUM_MALE_GE105","NUM_MALE_GE120","CV_NUM_MALE_GE120","CI_NUM_MALE_GE120","NUM_MALE_LE89","CV_NUM_MALE_LE89","CI_NUM_MALE_LE89","NUM_MALE_GE90","CV_NUM_MALE_GE90","CI_NUM_MALE_GE90","NUM_MALE_90TO104","CV_NUM_MALE_90TO104","CI_NUM_MALE_90TO104","NUM_MALE_105TO119","CV_NUM_MALE_105TO119","CI_NUM_MALE_105TO119","NUM_MALE_RECRUIT_STMATT","CV_NUM_MALE_RECRUIT_STMATT","CI_NUM_MALE_RECRUIT_STMATT","NUM_MALE_PR_STMATT","CV_NUM_MALE_PR_STMATT","CI_NUM_MALE_PR_STMATT","NUM_IMMATURE_FEMALE","CV_NUM_IMMATURE_FEMALE","CI_NUM_IMMATURE_FEMALE","NUM_MATURE_FEMALE","CV_NUM_MATURE_FEMALE","CI_NUM_MATURE_FEMALE"
1976,151684.6567653198066860819091858717214922,0.4545868073228824628498980402726873810104,135149.5339240754298240938233489635928966,384130.6564324739308469995023909262498464,0.365982015434179412884668072532356270352,275546.4271891738413133300535917772579839,282199.6037960483706157003098327020449282,0.4504957317142643253034873688418296870065,249174.2453230895386668225560687262033688,58506.6839966516318109287287225651280493,0.6759914672923913342390939140201577738674,77518.0375561652618601392006986447358769,477308.6292011421057221526828542328432902,0.3202459350597884359332761894381384559488,299598.050610426162500013922928098103901,93177.9727686681748751531804633065934433,0.5424681861855675354626155092776964682131,99070.3283253245532840175690549275758891,101931.0526364255602312991925582242049178,0.5311500023383581944456914701668217533316,106115.7305385299470947221418019447785008,223952.3881900618228030705987101798583473,0.3928045288009860965485739113736380525465,172420.2441410314053390939590882451482244,58247.2156059865478126297111225221865808,0.9999999999999999999999999999999999999983,114164.5425877336337127542338001434856982,0,0,0,0,0,0
1978,4887570.2808749342472692636101250943362,0.5046448126817247712899222787490844055466,4834314.49816735639641215178966866700897,3512684.74061330045791168716377161552896,0.4164786674272206518581123011276281660922,2867398.18933061681960327854414046118891,1521417.44437962984838273415320746493714,0.3443412652314833427330785041169123936952,1026818.14317614608876491495589733355894,2674334.05384800352257939223066999830171,0.5859422113706502321116572656068374069224,3071330.21053284816832730549234246159196,5725920.96764023118260155854322671156354,0.4112065206300257294516658093864558011679,4614890.63547146523758586459907078745231,2213236.2270269307246898713794550960345,0.4279783809957740327315581106918500395642,1856545.8241201951345543972069722946804,1991267.29623367060952895301056415059182,0.4855409118943640724935332598299136748142,1895009.80812389360121039752373195917667,1017527.33952805731015159511716207885509,0.3753682535811490505652544302729894550424,748617.0224030507380013503014484854093937,503890.1048515725382311390360453860820532,0.3160520111315851659441856060763115242523,312140.742814183847758312139034574464411,995093.6957688652590607602104112149355843,0.5466443592674829719890422009265590770651,1066166.21723997864246296998711090230592,89714.3270539306835809192532604625203967,0.6996100364423706915211162278665430951884,123019.4854944222884243108430908024947035
1979,4615607.26760239574630199020389225114288,0.540135108720440753680657615447080293585,4886381.00526266195186379535165827092156,4088845.40180176750966903170058847974819,0.4587461574968082493925213466251475612259,3676454.54868310554006889358681846157094,1807883.04264049427471699937630658142641,0.4975017984871620487830289426455928425574,1762873.12772945360953477469770152895784,1554934.98323788268370606948190524206009,0.6074551113234585878949162586746385185493,1851324.27855327614840507112210153029968,7149517.686166280572264952422575488831,0.4718993056918327649109631619187923351409,6612750.76698135914997068270658811782246,3060672.28436451306259592072198700908281,0.5142877739840569713989536892071788963635,3085170.01860022712190511807910683628789,2280962.3591612732349520323242818983218,0.476041478335272791233025793906096916968,2128232.07922519817724447360441017748148,1558794.78704408079291687048903289257333,0.5164675966653462700491087481970109418114,1577931.31482388823493947478744969907373,249088.2555964134818001288872736888530608,0.6042958992031935551541474764377140200532,295025.1023373156049493421317214266188081,0,0,0,2354309.37794279114881190311941214108016,0.8029927000596608433624769581311668010821,3705366.75857332229056386151882432859635
1980,4226747.26060472269138114271790042990588,0.6656308714016061693214530985396221382976,5514368.78605051972248584895360515397127,5103574.47074016279570797552820740414028,0.5130909885148584905707582408853944214498,5132452.21749648110255671246310492125016,2540699.56841165705154417748049397597596,0.3884482551848537233411069695545808174767,1934383.41602490139374792549600512038022,1371157.47557851363155848066335466494048,0.623821126499627735059824903570744044078,1676499.72200659739079844895338733882218,7959164.25576637185553063758275316910568,0.5716258076708831450733383622298574172524,8917340.84433184469234951113162483344368,2855589.7850262090598226620545457649654,0.7026660422300875466455155829858033260199,3932790.90605498435501790144732151193879,2562874.90232850574416379804771342816433,0.6549992414869349901237702884718329854442,3290214.98942010476627662647278838392436,1372215.16495121773847953114031027621344,0.382595890343478222519304432039440191119,1029007.6102435746066973300570237310462,1168484.40346043931306464634018369976252,0.4436710708611840892972137446098785582009,1016108.54407305457951708492177181460295,1137458.67112268172652322169233120912,0.7751607119421056425542961998858327390789,1728158.01569187156048705854408495023915,1269767.0167457653485472658812336858507,0.8786273386226098297054621471322883481057,2186677.94860444120777570330688065047663
1981,879731.3377113668119470805531564404028084,0.4102195115061417464522776939656246542096,707330.6008406989564965164889216419133669,3476855.89993352713525591702632751739063,0.3676316144340044215491983516008591762051,2505276.20938803357793069410287080255972,2263357.703536200272515667208140673345,0.4518176862064837435651376008850933822799,2004345.07971191932818694150833155020773,397026.7596482329827259813221100097222353,0.422219946115891259048441345891894955491,328559.9294478779264265372136202210927829,3959560.47799666096447701625737394807121,0.3680951701696139107125578381420716541291,2856690.37237231508047376230544149788773,482704.5780631338292210992310464306805733,0.4343079707663131350830832415895094554998,410899.1937252897257340441532747903165432,1213498.19639732686274024981818684404564,0.2842166174985991696774173992298164684216,675996.8513325700829240155091216056006182,933520.0712391486038483710390766270992252,0.4292189427971571617414448463705692801037,785341.6161921006381588022476522683939534,1329837.63229705166866729616906404624577,0.4768661228218335244433153599283248048601,1242942.85076428177393572245454606437681,219336.9930566322673939450516926817828226,0.6635198268498142259878293908269552625984,285247.5095632032724965860774774324863207,109309.5622444240895358968122671536930871,0.594344229386468550390629535417978244193,127336.3147719995280930057943617479751323
1982,3025546.27199536220879585573635583431489,0.589476053376043802482605181987744376402,3495634.66841595980875491675107980832514,8314882.74300791789007629642738621839005,0.3379631332447519653550681380491936974227,5507842.69580376038729072269099842235104,5883652.29057577447417187419756153893546,0.2901474603725240139370783319926222899395,3345968.46885806755145398802551998432051,1356833.53182853972585810812719807755567,0.5803996564889367649643994238331704926618,1543511.20294047239881498003096905501447,9983595.48317474037301404403654397514926,0.4013808022560619423719189830069425262008,7854158.1862958803507452184664616990545,1668712.74016682248293774760915775675922,0.7865698115129289521078049802915869418755,2572615.7683843918622729096555360306216,2431230.45243214341590442222982467945456,0.5119250107759880748223949501735338656833,2439431.04409806134625178129203657194048,3093449.0697111188137314296333144178482,0.3069746269211587069665910948244299563945,1861236.33318538529517738049497451622372,2790203.2208646556604404445642471210873,0.2910348845605544919662667555843241264679,1591611.0856782714820296865830792166668,927161.6228125337065439181309748633989032,0.656751359729305680406667089612481614782,1193472.72668308385826940910557890652631,0,0,0
1983,2026858.7471843624658259847791584860351,0.4940208136829619308497199843837128639549,1962568.39870871723678980013699768275492,4996319.52699092984062497123169345135018,0.2981980171623214504002250025324897881641,2920189.44907384285197946759875345923176,3344976.29404083209571519371675178597803,0.256824169646853718207749777608366509821,1683778.6880426755480086423200723633926,965684.0901888610963755624106128241041848,0.6178372037499799466957363461896154728133,1169405.69365673359268890908082859628798,6057494.1839864312100753936002391132811,0.332023458367982890988785552660388305759,3942011.12930178998134209855013333100887,1061174.65699550136945042236854566193091,0.5313262600060638382764094305399226582483,1105106.72496068924707771163866566166239,1651343.23295009774490977751494166537219,0.4510806546827313437035244291018088541953,1459982.41378505531999171720590010542217,1386197.36640397291167516214457003903122,0.2670216115752653220845571486309290934403,725483.5232876117003406973663569905099677,1958778.9276368591840400315721817469468,0.2937142176633813364810587734789563528321,1127629.59180049919139385299228574338817,351289.521117885456148650367926271268893,0.7583320512642044613228852433035242683376,522132.4421484144529016196089265462055088,2569453.23738328835480252580128253092103,0.6886185117684647009858620814281021011986,3467971.20619566560678409164714212017387
1984,1277189.97479490468893111823854643335506,0.4299104296979387652463994906778457998482,1076191.49010515502941881194073138790455,1948673.88251066221493997505126955224467,0.1836514731398206525243665821703671741037,701438.5852166667392664413252154876251026,1451879.38022790265300328334625674845809,0.1942078268074850177868096824185868179517,552654.0248724920436561792336312632889349,842627.3557700523528373683495314054350077,0.5926714902802023015293853784047941419195,978826.3729624021735149347412737602846293,2383236.50153551455103372494028458016471,0.1749707869893498953085168064974958001734,817313.6618606113835488740738660669163714,434562.619024852336093749889015027920047,0.2859502673050260780196756653473503924969,243556.0622590203234943138093718748509733,496794.5022827595619366917050128037865734,0.2773689840570359387049640034188522631336,270078.9573112480887359825361961799342347,758410.4649496678307501227218615313515618,0.2483719601554428622858396003569097453037,369201.0718126215961060674149387254544879,693468.9152782348222531606243952171065353,0.2361078667327006751413275034037355889212,320917.5938142965665842207381043373363635,236303.0703554853104129273533726761085632,0.9103908228416146672747122359319034188319,421651.1674554232584223905661044743575891,340152.8011664250922980011960547565109073,0.6528855682510537914425083908232787535247,435278.4755681891522614251464893047538555
1985,671011.3290892260379102191588352279254814,0.3771431581623374230063596944632841623044,496011.9703582197145039819825318138280217,1493400.17282621710632768520576154358725,0.2305566688635182013541445687718305802946,674854.2034889493808319378590404404209482,1117037.95240851081633990681299841396591,0.213861683194681701462119068687372237779,468227.5687210727567224614102189208211101,292343.9886135858315676223123344140032076,0.5952980035855976918431647577855081761816,341102.3138525599643489748400918475605221,1872067.51330185731267028205226235750952,0.215859622843589523703625123734775349773,792043.4232237878492646417272411409832681,378667.3404756402063425968465008139222735,0.3047054671381516191814230260165772633197,226148.7373843992565342432575349948040684,376362.2204177062899877783927631296213378,0.3317578996543631918587832528825453826297,244727.8339198602210255178436609528255489,486756.2614783784781252737742789208292357,0.2876847550205279801250504721605375529156,274463.4174427061313507039676667155269076,630281.6909301323382146330387194931366744,0.2326679773401552190740894331023835538818,287426.8777191636224175541004610085543307,283993.987086690915410314129201278545849,0.4980716341082546332475045353603371164072,277240.7244813659492635569175581024081741,61865.3961453685657598043571789820073851,0.738243199970074098357983554356699285783,89516.5477148354277154419252587509242823
1986,562011.2658274861241414655012683135880728,0.4666214161835048494363194493760341054645,514003.1258321513281814839050991988107012,821728.8365943077517113018634415317236201,0.4494904366047085064009752263426369277362,723944.1369216509452017574834018349818201,374388.0550292175901156496543967838631034,0.3046033724193172934705095278678308086804,223518.133744600899930421696712397761923,358596.6566863743826524783311796422493217,0.5157866884203424663293093609636616475053,362520.3887805081412649089043471061429648,1025143.44573541949320028903353020306237,0.4282444152996755552042428104512131293212,860463.4328138284179434170403706180145243,203414.609141111741488987170088671338751,0.4187573831950785043024166471135550585975,166955.4840780600306307787340010157735871,447340.7815650901615956522090447478605169,0.6712371104492113717495328391933495427705,588532.5978635322076471112869460514007034,178602.3139729671842484922424852384943771,0.4780566122821700931356255769292795381883,167348.7536407994391837285442076331783155,195785.7410562504058671574119115453687261,0.428680236284105484245492196978623105368,164501.7763646221474254196814217062992313,295227.5702703343334645280124007048130359,0.4604258285670999091067187681668940117104,266423.5813688379792731413966575368452439,20293.3891575275265611825209562535461988,1,39775.0427487539520599177410742569505496
