"SURVEY_YEAR","NUM_MALE_GE25","CV_NUM_MALE_GE25","CI_NUM_MALE_GE25","NUM_MALE_LE94","CV_NUM_MALE_LE94","CI_NUM_MALE_LE94","NUM_MALE_GE95","CV_NUM_MALE_GE95","CI_NUM_MALE_GE95","NUM_MALE_GE78","CV_NUM_MALE_GE78","CI_NUM_MALE_GE78","NUM_MALE_GE102","CV_NUM_MALE_GE102","CI_NUM_MALE_GE102","NUM_MALE_GE102_NEW","CV_NUM_MALE_GE102_NEW","CI_NUM_MALE_GE102_NEW","NUM_MALE_GE102_OLD","CV_NUM_MALE_GE102_OLD","CI_NUM_MALE_GE102_OLD","NUM_MALE_95TO101","CV_NUM_MALE_95TO101","CI_NUM_MALE_95TO101","NUM_IMMATURE_FEMALE","CV_NUM_IMMATURE_FEMALE","CI_NUM_IMMATURE_FEMALE","NUM_MATURE_FEMALE","CV_NUM_MATURE_FEMALE","CI_NUM_MATURE_FEMALE"
1980,6866805.937114741211282816968782081761,0.2220127882570520005687115041697632592101,2988056.71573708824870097667611158671531,3031578.50006646249161596970909781005854,0.3327369720267623816298790595596189160353,1977087.77112415562638431278767057970448,3835227.43704827871966684725968427170244,0.2569446869335339521617032624370170708774,1931464.97373728874765544107173353600201,5815553.79628559805581755677992441604636,0.247068147181349671796820591861413603511,2816202.67851222405475315539936020778756,3443534.76831013532789466830960461034446,0.2648203577339203870525804762799954535527,1787359.49405764208070759852147389894299,2173083.16686038404632159510930735322124,0.3574264840233605696525574968600974635083,1522366.25260966342452345967581800120243,1270451.60144975128157307320029725712322,0.3734068237772527139646404451361524005957,929814.7826297485197446483375397798849987,391692.6687381433917721789500796613579817,0.3953474791135550844623735146673780041336,303515.2299788561585126055999221322265947,2667931.61135141695825040470516363939425,0.461091280968178269245052868636954730578,2411113.60825850073867010054081197287444,15375137.54765730331099509664010924004893,0.6708661752424689988064249578794508766832,20216733.05203050980187716214804301855997
1981,2027607.43106920372516488110409820202072,0.2159769386109812415074365147391988726542,858316.233507717472679994499404163814505,765837.1888162254434607460724176480750767,0.2926548125208164559571959771582583095658,439286.8402723838776412150697028593646038,1261770.24225297828170413503168055394565,0.2294580666518701214893671106683722996013,567465.7862786111927231442176533432578869,1868899.8676503567383475766331213519277,0.2232136333241258703030910946629696913739,817641.3023633396309512294092134902067117,854442.1008756141530666897574275011833121,0.2573788454881192022337032003515296019703,431034.0300612249657918538276537266321115,164477.8046328764389097537539761768357119,0.5658719713903404832776220172531316596569,182423.8239328196925629589599062524883865,689964.2962427377141569360034513243476005,0.2816655018176467818240536819782994782655,380904.7138854416356413221276984454529628,407328.1413773641286374452742530527623411,0.362170482074466407471232813040378851702,289143.5694772672924685429525375849552534,253808.6229111046844620635767189348766191,0.6144476322511740059894752562675465237127,305666.1304896123229484298093010770213068,6791422.01428724243163716759193991334491,0.6079816020938954929334245925550650123895,8092956.88801453258061912313380355331547
1982,4144408.15000345381862494406027519775783,0.2746231639857870320626432573149830598371,2230774.93884476428654895660043028664145,3032964.12577897595356326865781222619111,0.3239553758972594222907221765108763899111,1925788.26556127668449590094087693987692,1111444.02422447786506167540246297156671,0.2358325874941790278817615752169085962652,513744.8513720911577128356240749638284444,2349245.79418193530364023316484341448868,0.2607132394464484022927630747534700598462,1200459.78326394880982378354892073190633,718218.7629944836987580320677188627590993,0.2439313066728395819294301648551379837943,343384.2410150219876552429518587170848401,366162.3433824346962910611812719601041072,0.3243432111033453127195171848091824392369,232774.0496660578792606101824000687758302,352056.4196120490024669708864469026549921,0.3574233070373387967239930780281871787826,246633.012732468606206331320443355037893,393225.2612299941663036433347441088076141,0.3478590203140785867759890848592050423404,268102.43010305826327056266031980360697,1100070.32942638893812478887266310443684,0.7791479051567248656698624004528701641133,1679950.28568737276822523768944864561886,81494669.40678413971096668916306450797137,0.3831818530981576199259531767427292008421,61205465.74419002921371958712113718516499
1983,851254.7260820569783370266389925888366298,0.2498349729318728022523377200437423625352,416839.4748397254237433417739171629750588,733687.0403198396522639839580634993927444,0.2747120804226115343958251429227112778371,395043.2787217283791509970195222658885772,117567.6857622173260730426809290894438857,0.5125359863363167211029463222873039248221,118105.0327754957468027481956606590470465,578566.8071342513820911888649442809915242,0.2580664919183422329437806365497111103072,292645.0642647634131716310620018229119763,58284.9638959592403332151585077720846876,0.7095958043272035777226755707801590798885,81063.1810384330276909568791962697478134,31589.8277853191363695545163371135568934,1,61916.0624592255072843268520207425715111,26695.1361106401039636606421706585277942,1,52322.4667768546037687748586544907144766,59282.7218662580857398275224213173591983,0.7459387954518793388421989202787341780855,86673.7129944496758030300245719610178364,268634.8843045484287444817244092104395368,0.4195816624317216186507994038449347036862,220919.9718335650367014510568518210952085,4438250.4192606683018482902965210611061,0.4773510625064266428623441035300114923285,4152462.96447520011630215519606712689607
1984,6616954.06078085683678571566109103044886,0.4198026146558509737586186557525094556814,5444516.64691597051683030793933081573626,5655421.09036198071251775513668015488668,0.4890118250000168567445173876347444764937,5420512.86554133496442986987353708580075,1048193.69072158929859988248354451988643,0.2992435508493753688054099829948393061146,614783.7958993030781427375403375301872114,1347428.09543071918018281438850686302491,0.3050144494758985637851437688346221459948,805530.6759228722747193905440521133845481,825728.7982999523668047301597699383952886,0.2607091001960888646969043558029772324662,421939.0235411255350294674110968641370289,638926.1112609209449738206366315748232185,0.3036698647960737379398452353760704477359,380284.3074097186578862526578206793681772,186802.68703903142183090952313836357207,0.5194619756023709000598898147252661184345,190192.3099999682677054333099805821732841,222464.8924216369317951523237745814911452,0.6073170394012765051253365060296231250091,264809.1708790147503700339694364758167973,9013503.90615893650835720747882145128384,0.6028783671990489615607643080549620808956,10650731.17466720497523341221524875710012,5176064.70110568837458108350443561716147,0.5867351786510328967956061927760673131785,5952479.32434060047280397777917271186637
1985,314192.743982203876889370707259629837552,0.4205296046991289242995258925893585157096,258969.6068352947964563508440748011484155,43567.0559803163502443165397572092008901,0.7219685847096745780141773587596948386591,61649.9296623092722791330958421218735981,270625.6880018875266450541675024206366618,0.4300363451610428114320524709834331426327,228102.6082790477979341298228854727134849,314192.743982203876889370707259629837552,0.4205296046991289242995258925893585157096,258969.6068352947964563508440748011484155,253331.7485452278505012412549961167481609,0.4120001009703628005084082377402571015747,204570.503720079570454457812601880251371,144127.928283808162976243054407611814284,0.5618250027700629637337532492759900244067,158710.3604662961563918472997959616373405,109203.8202614196875249982005885049338771,0.6044880699537870185082615154709682839719,129384.3168211554625649453851931577651686,17293.9394566596761438129125063038885008,1,33896.1213350529652418733085123556214616,88820.9442467750084503277522136158763768,0.5760127833390300448066653569963127019272,100277.5186561959329961494744750857149684,1773800.1874680402145813997709513472464,0.7116769462378151636290754145287271249316,2474250.49328050507211908489761756929179
1986,2168085.12777824678023273039582216358065,0.2573713536693128899097606598954619090636,1093685.88824492145727044417300327191958,1927159.67832017861338800376910841639847,0.2855177059546304064466227443110772933798,1078466.89230999212457844152676519411409,240925.4494580681668447266267137471821811,0.4441519355606987145075396665579651455929,209734.7092171592442397853036704345240226,460109.1238735382940874027833824062918215,0.3096011582186427337978353519505116241594,279202.6226100963394678498079075260263953,222767.1432881106261024635920040913354639,0.4303907758990677074286744311808589220425,187918.7703433939019024843013908726905779,120079.1735801266081495746475634014406578,0.5918821175151582923949667252042620543669,139302.5224350281524277395823391748914392,102687.9697079840179528889444406898948059,0.6341672675577351436267980050161835771225,127637.8443550968564662309607666353047297,18158.3061699575407422630347096558467173,1,35590.2800931167798548355480309254595659,495090.5068842708133030227639658986683823,0.3089489040488569697735502797358213661986,299797.0322335015472967810568997921609629,361818.9149812493707907977186188355451993,0.3826459790986370722618519713205148212779,271359.163839637113560494765786118439704
1987,13986609.18356499425340791454054448609736,0.2120513673827894264308921525968410100041,5813124.02075032866086948379468666883054,13401246.12816841555470219929867877297746,0.2191661008450424496003687071586029007944,5756713.76633577152685069202723252819571,817263.3960550086058507691500463609825271,0.2872815962018375113274702967578420707301,460178.0765545940766409941426666001761615,3679895.13707715145507725689570423811116,0.2280327619774259706318873639192034606354,1644707.83771420272929535739056395350248,563207.9008786140668523279104258360241024,0.2974006342442825529511687072180039928619,328296.8383880740550085107518726423319504,497082.6525998721076662640714783413493206,0.3234122286443618385927173036708724114772,315094.7126556404167217137702808015933921,66125.2482787419591860638389474946747829,0.5880134838558250845857409586320171981894,76209.7737179803425420714558243040089978,254055.4951763945389984412396205249584236,0.3691435583277491075421278635668676012496,183814.5810241798559138664307780859704392,10327639.67561978734028511173659786227434,0.2899702648439786497038485846541686277005,5869628.48742719691401787271786406848006,1056312.53609696631571849955356007107414,0.3170510053428949761698676728587895153126,656413.7049906585710954946894807565904445
1988,54480800.02396686804986344396335250819597,0.3045235878143617041893856506521244401897,32517749.83297850141040502847897715944536,45013071.09278295621774441525972034309549,0.3463652770689969525337429870579076531166,30558291.08792532307921633537364674181339,9673050.92866406743938766653810297498981,0.27343598893767584472878929880960341465,5184122.08357857548201346085653580326957,22219623.28217870218659681740748469645765,0.2885262185496233369859388530468584440189,12565450.01108021482445851000844778701849,5345552.29108755171613168908780166821861,0.2973594373731742463998568906379696106342,3115518.8265842868099164597316555540117,5003906.45825806209170755593149060101259,0.3170095978925375803426742741464374674174,3109121.29347954989048752538735891650408,341645.8328294896244241331563110672060197,0.4313510408335513662592138871763049463786,288843.7997513938520768407157618795403864,4327498.63757651572325597745030130677118,0.3044785217745763750005355254173622020402,2582555.56077554984895743831056081790476,14780320.2144888869528768035054504180319,0.2895273288624923470491006752847872443018,8387440.99760920409830084929599155158261,19365581.91144011352000892670713367201589,0.4500560603964266577958445507011071773856,17082571.10460019708717595899241090077966
1989,10300646.35118562093230635060494864048622,0.3151403023147402880439185016373319386027,6362451.6580937315550194808144491210257,7696228.66536712054712665140875962094451,0.3631199182437007140555579485985632154977,5477521.69055575196153698900958231903859,2604417.68581850038517969919618901954167,0.3696454533683296235807112706806499872373,1886913.86622035585558880359387317966987,5897381.12979376638943014798454834483483,0.3314590106977131671804730556696064853082,3831290.62537805540439109076446376105583,1561451.35377277537839844781740323022761,0.3375283687722161564079564115543894388664,1032986.89157794321909445374013084983861,1472983.9296924273485707289473208297949,0.3555171534883948445717576753404929566569,1026395.26548406732028318676706203632335,88467.4240803480298277188700824004327067,0.7248341188474003611429154708808589681056,125683.4464647575707986340453516876222774,1042966.33204572500678125137878578931407,0.4701034095543904478570872102787648730059,960991.9763404584093147305144848871825522,1033815.84050241994655954866239905405779,0.3746211079657466551509809064425113445805,759086.9017790501256700087537616098492239,2320372.47534931229274558495328688856816,0.4056194488309601295733251539231162674254,1844728.88088608859738993187153343078793
