"SURVEY_YEAR","BIOMASS_MT_MALE_GE25","CV_BIOMASS_MT_MALE_GE25","CI_BIOMASS_MT_MALE_GE25","BIOMASS_MT_MALE_LE94","CV_BIOMASS_MT_MALE_LE94","CI_BIOMASS_MT_MALE_LE94","BIOMASS_MT_MALE_GE95","CV_BIOMASS_MT_MALE_GE95","CI_BIOMASS_MT_MALE_GE95","BIOMASS_MT_MALE_GE78","CV_BIOMASS_MT_MALE_GE78","CI_BIOMASS_MT_MALE_GE78","BIOMASS_MT_MALE_GE102","CV_BIOMASS_MT_MALE_GE102","CI_BIOMASS_MT_MALE_GE102","BIOMASS_MT_MALE_GE102_NEW","CV_BIOMASS_MT_MALE_GE102_NEW","CI_BIOMASS_MT_MALE_GE102_NEW","BIOMASS_MT_MALE_GE102_OLD","CV_BIOMASS_MT_MALE_GE102_OLD","CI_BIOMASS_MT_MALE_GE102_OLD","BIOMASS_MT_MALE_95TO101","CV_BIOMASS_MT_MALE_95TO101","CI_BIOMASS_MT_MALE_95TO101","BIOMASS_MT_IMMATURE_FEMALE","CV_BIOMASS_MT_IMMATURE_FEMALE","CI_BIOMASS_MT_IMMATURE_FEMALE","BIOMASS_MT_MATURE_FEMALE","CV_BIOMASS_MT_MATURE_FEMALE","CI_BIOMASS_MT_MATURE_FEMALE"
1980,335974.9189557528499489391669615635053226,0.1309263878675642492263478148926779299706,86216.445803829749189737087191094876087,236813.9692109936566677265334321185195712,0.1485918399695282781722426709111527098254,68969.7018944755819046080828020320292552,99240.1465591069357367779363055970002959,0.1590491329086055856385936604592353771285,30936.7561494998367623306068840594019306,180836.9622044116920666344768293009395643,0.1675289902991314209849338646407095323742,59379.0500262598723023607193627763143526,68591.5407691397818627653270481618475715,0.1489757173867820162448000615474517200256,20028.209025784717628018524072026352559,46062.7031389980681158803735757810965226,0.1971283415543504087926330673271655725479,17797.3179835100773747681194844115272462,22528.8376301417137468849534723807510502,0.1685030385688270298112153008552427533466,7440.508088361117425013089649606386186051,30648.6057899671538740126092574351527247,0.2140041878226721832002115084071198076648,12855.5027803591711592223052692628487295,27574.8475298407310929833963736743118002,0.1880477839598729399899211650913746171978,10163.3623831951345550183956881759056065,271682.3128484500643379844874287295639539,0.3269854334091923116993782593221093150694,174118.8712800699537651003994800658426652
1981,204582.1553346637767753105199173225079959,0.114966210982248998810127075581222712703,46099.2690574800588523883347528925118705,166540.0954318361888022040340710391679298,0.1292637093464859003180916551448610809568,42194.0773612563188055253388666694457713,38042.2235161124681780692537874016915047,0.1081161277855453145864095781107873257327,8061.436681872013486895155501059907782767,97286.3621610915069202912638020197306012,0.109859672972065177686750476644312787447,20948.1819460524417044210882307498484037,22629.551249722286087453865165427733093,0.1072809787960794506051190322817460499746,4758.331999261049620107207138573650335197,14713.3201970077209015341678652691356608,0.1324888706803413794905482623954702788913,3820.728306645229331146521817319349284766,7916.231052714565185919697300158597432112,0.1513244339164883549956083413177473075764,2347.921598296150195221990547879998798837,15412.6722663901820906153886219739584117,0.1305142211179480004178427859286700492518,3942.68291574046142614132066556515758278,10988.0488193971066479505673301266284546,0.2635387009875570762594179822621550129854,5675.721180013476325857940458309423490843,118844.7552260706964356733012019986305701,0.173450331591794731724172427441801141027,40402.7779157389786375307822858923336441
1982,316335.6860409900453114487719403754862165,0.1206696137349946685020629939504635437233,74817.3258885151946592440786168947940126,250474.5888506082804255162587970733497746,0.1235601446738392790583630968184643125467,60659.405813583077181385811957268046348,65863.5217597170407937753838709207006476,0.1505109840614051377403929911178655471323,19429.8396086573727144376571094477902986,177794.2348421774870963101059100924792942,0.1376725904829141390395170051981947425831,47975.6900519543248371512418054613632961,34822.8407813277017823262015044933988362,0.1449480134344479613133686106180275120363,9893.103123059158917193483400098962158115,29500.1329087094361385984836305369125104,0.1683518598133686904261127441164145804535,9734.14839024867885881108113912311715147,5322.707872618265643727717873956486325902,0.1634173719232540243899673554612030449815,1704.852946834642991364180287313762002531,31040.680978389339011449182366427301813,0.1659736311065315168919363089413288805319,10097.7916866453350365170561702550921159,3653.690548224134479788007655526085660134,0.284410115103888593057918532508694046657,2036.727236773855171244145902643248529188,141492.0007135940678248170326535588921473,0.1584533625652760088181762351567799140364,43942.9712467485286826274772279271168404
1983,252368.7043954577345151205934158451451173,0.1096223548833889632670374700659939544443,54223.8932824119057279267000509841422357,184837.0668989955981835718503156581418209,0.1179136078155272983393262309020053554657,42717.8186155570769416995471392170453947,68047.3199026538441826378845430226249085,0.1384670834969326337439834361854861029231,18467.7352963383810958570271800209635477,163095.8499344944740603804183092668832015,0.1257450796541626553046583758862743644402,40196.6612569016787870857695403328777747,35087.4451872519325387059807220187616874,0.1419369570750038225216180832031539160703,9761.202194772472936610721957816668869496,30908.7782798284262983741305952049525324,0.1612697445053636535390514945110278096341,9769.915521275293030329103559502778988941,4178.666907423506240331850126813809154948,0.1428450318862143088147457944609695328783,1169.927542960247396950210212610425058991,32959.8747154019116439319038210038632216,0.1472282816051468911316508586919822671459,9511.14640388832464746573544269452930917,3622.276912970991230161921905405665450872,0.3809284362380062193178594514052600865004,2704.46342895498158266562355709850371798,82182.1314578926476267255679971380323072,0.2025131116971110171633996896064489037815,32620.1999681801946632381558051496837978
1984,239241.2207001178888398572214375896273309,0.1043190680174655144071433526882191777943,48916.5455026022702160110770361926360052,119438.2271021432157632159404044570981025,0.1277783320892458909007770057955438137021,29912.7701957445124525326835868582175075,119971.0693615752744056644690461481762555,0.1383962667871596679499731062486627349421,32542.954319326601596743028894376965078,183321.4235046102578967692553585978301358,0.1180939495915351579233674715744628567897,42432.3358549477480383691853197809829355,85095.5682921763345484653123121096301687,0.1526986778357974565590514066336746932435,25468.2023050862251474438521693326992031,76226.1754984376604514530566438123786817,0.1696057438843848896489128178446158057598,25339.6585097934173913259323613772692089,8869.39279373867409701225566829725148765,0.1744818826738104837773479379351792750788,3033.194771537100982711787887649692899929,34875.5010693989398571991567340385460857,0.1340646541398892927200802020661189491879,9164.121098095643754046512241008519714215,14118.6312217238244004299509136592722913,0.3463561175528804539676780903758141989325,9584.545618429604405783678107283068849234,39368.6378866461171330593355086265874198,0.1998015616123923459120190636739775549928,15417.1940434771880263346917976079867949
1985,99876.8174132064531822302499301125359671,0.0958472103267323642198389208558024873883,18762.9120777217589763377236382286172558,44214.2591539168028426323811247255567344,0.1268971307386614920889589969521245336204,10996.8987437605767083821407659638503157,55690.9541830727760792266136626754524634,0.1120006706475292500727283001579414212079,12225.3514663097517401609536825597078672,79334.1817527410828982370130747901014631,0.1063837220635179277008915255267695600104,16542.1364617716369267377931744699416549,43098.5428261649129294097008496486521722,0.1153368889328928698298466143146937818377,9742.869620337382295923040125740800390637,38399.4796639566553666922828712193950478,0.1219688141062049706532768586558182051208,9179.736433939929730055869477998724902707,4699.063162208257562717417978429257124314,0.1468010855950865659107753666121037280084,1352.062044044423030070918047534383839307,12592.4113569078631498169128130268002912,0.12131495764389773421184983380282049468,2994.18978677971585543858535902909669913,5363.840377868737420246715004580800957071,0.2594756415957117071851652107683569489534,2727.900409990371714514295558063362476219,5889.138213011432809859741288205722425103,0.2154447086607157479727400092920622141445,2486.815986467275151344829751039715175191
1986,142101.7676321297547250815716842658642923,0.1053803037174351370734132280660569453058,29350.4657664421253664411626297721717682,83407.6790386010794213260068970473703907,0.1460874580058100258360109812671190743531,23882.2389854708840241530778963728773463,58724.9808110668394191723294052651276325,0.1255774242313152044421086641827430517659,14454.0823834428832433742170913349607165,84159.102648440074453754994221318968725,0.1117556218655183244425577201124858502768,18434.2955901560049969560924145605016408,45966.694477525202621923247626770424622,0.1309122769911526231705795832857461045312,11794.5050940265512676546035784962586611,33449.8453878285938034788987725479822418,0.1721015610255147722434708996132670354481,11283.2703903225364981002792954326875169,12516.8490896966088184443488542224423801,0.1092711977454525853914973487621698275948,2680.752940379243601511364967399922949598,12758.2863335416367972490817784947030105,0.1293761328642888233220040785379848957997,3235.210785705489300693768274610246540334,26043.4015662863534885461604777645450602,0.2851213876708892686978733215498092255481,14554.0403567295613069934416209777205989,15173.9557834878514821933729167111709975,0.2087754523759036453612810023116573091835,6209.1809867380858216048243430363762475
1987,373865.3727780490992981149226682975174165,0.0983482914174473288478266946653679400347,72067.2804404215787921068587872328156836,266341.6688451234554803167377453412118006,0.1193249756710291965635258818909849233479,62291.1777840463156571231738951956604447,107535.8465569203972286102162879453017618,0.1134002070841478631924111586704561554002,23901.3910463068871838930227049080804486,178661.5609895511434480782772135737027,0.1065317850074009384604329642855306113311,37304.9446086740052417490492648656614466,74289.8417649231178110156722604758463088,0.1106776787409423500829099686840656589125,16115.5653915242608459692843893107792388,57813.4645287703419031067041859969840434,0.1365954986640607054928724664312494327747,15478.235672936565634821137020330280461,16476.3772361527759079089680744788622653,0.1469833615862043440826853376135838538852,4746.636493347013261084140517489947188443,33246.0047919972794175945440274694554524,0.1317285693674683072909458653193300812868,8583.719350930242854362603601277260064724,107988.5664963698124815497849554140867314,0.1913666895089221879730243867094739988668,40504.2123714398221802341136164212041377,119551.2014377570636484782209100817046244,0.1889360915348056700388263756636675844267,44271.5720063625172124061637649266826779
1988,475462.8779342693377384085535587903517114,0.1112999425161765864167207596895268811029,103721.2223260137223091830515157098094868,331332.2762176655616890243678078766387127,0.1192811008920298505357304627199559715785,77462.4901898783261864848227688129846191,144135.2607009651205928880453010257596682,0.191117192651274029817146820155062104948,53991.5837189667969217087841738602225205,246514.5888179458246868078813369266119141,0.1494735402416251712265270395744131506349,72220.9202911807390471740808737446839468,105694.6202819629406209442685920669014963,0.2160097075960101117635014841458154889871,44748.8854822931438854666189211370176955,93545.5641556254005886335610639159859669,0.2436708205215260311749772473959114852543,44676.8757729425797334419646628656186204,12149.0561263375400323107075281509155288,0.1484546985395423949050314075309133935502,3535.025550959823572006817131283992471954,38440.640419002179971943776708958858175,0.1491855451916157733055060340104335140846,11240.1842809104551664750820322110085025,36802.5509664811084286884779330822780089,0.2005204362331573266766686589661241376781,14464.1406056119233863765254788530912294,165618.5745490353835964971150949895163088,0.1765624452685886003286339968041712099569,57314.3601883804128578843518843930150052
1989,516001.025985545249160501580269079409014,0.0942439484700322729248486625247630824013,95314.7492427924001665754084632752548104,372788.4518769727298734215377867644961529,0.109553697560693595599116837587803906491,80047.0924896561364448259411224282575756,143215.894884546670063720971310888307224,0.1042925536083877617244544234765483937263,29275.2487338468279935057179404153852689,291752.7600582744287773318994366638994141,0.1074798411339138392433795005713188993979,61460.7789908306683552746013056608915063,92420.9126941396831656352297230534161541,0.1034577557724719493434642958746031106337,18740.8540190073414967173545176024183531,74681.2850276138949131223292700188514823,0.1202380049990244795317224508741991950864,17599.8762960682705644838695279435272016,17739.6276665257882525129004530345646708,0.1353486619467747301032374887420961033052,4706.028341472572269785896416378393889557,50794.9821904069868980857415878348910712,0.1192197579267656962310440694853681238315,11869.3003420440036579028427753707344709,23265.1100094194331469255072303374417205,0.251214347140869874640266645542164049404,11455.2776674665669601625903355055586749,256727.5337515037496915379154286006533117,0.3241625665201947403216582043784149596462,163114.0542250832542393511937307989452087
