"SURVEY_YEAR","NUM_MALE_LE112","CV_NUM_MALE_LE112","CI_NUM_MALE_LE112","NUM_MALE_113TO124","CV_NUM_MALE_113TO124","CI_NUM_MALE_113TO124","NUM_MALE_GE113","CV_NUM_MALE_GE113","CI_NUM_MALE_GE113","NUM_MALE_GE120","CV_NUM_MALE_GE120","CI_NUM_MALE_GE120","NUM_MALE_GE125","CV_NUM_MALE_GE125","CI_NUM_MALE_GE125","NUM_MALE_GE125_NEW","CV_NUM_MALE_GE125_NEW","CI_NUM_MALE_GE125_NEW","NUM_MALE_GE125_OLD","CV_NUM_MALE_GE125_OLD","CI_NUM_MALE_GE125_OLD","NUM_IMMATURE_FEMALE","CV_NUM_IMMATURE_FEMALE","CI_NUM_IMMATURE_FEMALE","NUM_MATURE_FEMALE","CV_NUM_MATURE_FEMALE","CI_NUM_MATURE_FEMALE"
1975,199000874.18843322568504641308849873608,0.2026615933044081702517353075230073089814,79046475.09471598529604725354862718065705,36158727.58021007535203478252465580276563,0.2511640311946330644466350704773348467124,17800272.6925516797230099712593245421488,199841733.459810266226694820530532686078,0.4473061865675768739719738144420285668255,175205269.67348524723810329175904792655,180973535.192660119847258502023736498014,0.4801288000986778830870933404832000174497,170305588.35126880469553060288696168836,163683005.879600190874660038005876883313,0.4980626578246378815682253999544444058579,159787810.180274220748745904364862024094,156362724.721404743562241347342924866367,0.5208913843688427599746409201981805372646,159638072.441880908873729897778147103367,7320281.15819544731241869066295201694571,0.396636492773877208277925720946335921824,5690841.66362246251700944716520080323019,94015700.06844102735856683844400534389632,0.2639119111269865809345669659748378344971,48631251.63876751586865288359108368248143,85524889.40748684125928569191003414945407,0.1831762627208723387015888440660465622011,30705614.03810754842324889186669979913523
1976,133634836.777250490182721027973510271588,0.204407682638288505534899208290034866659,53539335.11855205843970772058169227513649,23705346.82045846315711986683460782092642,0.1753705343420942347410300925333834296741,8148149.90379019196545781612732311520918,97672299.13167403871232250267895065118557,0.1973405339806256708079314117249522481105,37778419.18488951344072216871644853012549,84987174.49348638780775769635200279896893,0.2087478914779007696657373640033660829842,34772151.21723223707669276058456283038686,73966952.31121557555520263584434283025912,0.2233843699492602973789234340507918265338,32385199.63665143326643470503828692279442,63541621.74634413455698954792136367312943,0.2128075177180337223718813525382974751951,26503384.1994107435296943913586814145033,10425330.56487144099821308792297915712964,0.4369297234311606897105512761427079893905,8928068.12875990172703027728548849222168,70822492.47788247056467503780205245419249,0.3988391081216577215422744953769962639189,55363688.28026965642100439590148453372609,94280322.14080823803895564018583865824327,0.1984973260580253536131210987409376211035,36680208.01588577233054775178218898361444
1977,75905729.39403558490708886223844477510008,0.1796596846302914634454930301590437206323,26728910.83294676874834095925685878712022,23364915.46031178283041142703317763934559,0.1384355536524736769266145976942181124042,6339688.61527134687962556605918126602024,87123665.37242769416868550219050597816415,0.1362690769639243906132369027948849806192,23269632.46554850587404114045768182838477,74255808.95541478127001062956929607737237,0.1451816146318988695871511725813050223445,21129933.3502920700979486132148446265428,63758749.91211591133827407515732833881862,0.1484913709768690029806747318182728085168,18556543.40499397875346893953437235316108,55271436.59684566748213257455134684529547,0.1528282171725127758879189517758316183109,16556188.82669262027460415186851132310953,8487313.31527024385614150060598149352315,0.2271012024798970390333887999719788505279,3777858.95705416717326300139180467125475,14546590.81917302760635312314973888734627,0.2062077729722656932514326333486587763794,5879255.39043453318039956877377851612126,142435279.756943447792842994572035586092,0.3902065582235950268993469293922675731792,108935193.355800727162232765152438607272
1978,46354629.57267433195413511407715737018577,0.1738129172324183154937667522831301163792,15791785.45077912193524237322504049434576,22588885.91611106548035331693192954820466,0.1975636721116039197632665623048142535116,8746976.77097410876421040172974867999996,78769369.7203682599157840674780984210221,0.1460570232669805370509900670543425654154,22549446.54530750951067906724442236703669,67191269.3100647195682509670956045932713,0.1475592093664600824202520712821822396341,19432793.52841520594126778555702726241501,56180483.80425719443543075054616887281744,0.1544931579804456086662823070082010321345,17011820.70518638638797043171657657731083,44489086.21968736445353961335515472844655,0.1769609520810668874855495459080322931301,15430748.86711899584983225069629678837132,11691397.58456982998189113719101414437082,0.2058779640648125402433687896637490943862,4717722.21829566703434015948681287266478,9775561.27321849925936383138846024186672,0.2416810770469651395760373791480204214418,4630633.62741009556363682856702822921482,82995884.94595852229771462553564543121377,0.3291973573459748188044022286911619342694,53551170.94980823447033558310253630243819
1979,12704942.11122012355294146912887967690976,0.3317053695487056714727612932435887589097,8260023.13547048047440673525985621620978,4929546.98796455864369892107835530865463,0.2025887625506592727253867424903910154233,1957394.81548505640573263442906265671923,20085482.51322680121148428494721490374631,0.1779713985849084251481559002565824297228,7006297.1716981226857433985284242956522,17832613.5977533120185217460682198727408,0.1842271468039606052894111010874018659186,6439092.9854163428740369244046890332414,15155935.52526224256778536386885959509182,0.1860687743559079373837147893305815177303,5527290.84090931013979037109565307975491,11108454.76137654728992688423502572020347,0.2247179851320963206604298849090153212319,4892688.36093885588948250127686289516328,4047480.76388569527785847963383387488832,0.2424274643483694753853882477324861549329,1923192.17723171685917322075514443498067,7708126.25182449476737555548822600147271,0.4888894231292349613813745080201254961285,7386105.93745710711142946224162886128557,13044491.60861829149379975190054842043002,0.3717621380108918083523804821448278218091,9504918.25578274381362313004490863617498
1980,40450789.32250524392163051403166342041111,0.3309300570997027997194532072144626070911,26237308.75964042905219526728346842588332,12926068.908993891898535849673379955101,0.3519709655829625045353128915279051248318,8917217.8719773619986082689740545403384,50406610.96519423735397016985832239718663,0.3095684704774300505359414422335251681234,30584423.01855422689664949262669493163762,43040084.70293431046531858020639259200953,0.3144295080613777160108329617387423772342,26524822.41372478044414020979342886932148,37480542.05620034545543432018494244208553,0.3166148095811367839143664277708066833864,23259113.58479845617154700607501506163974,24362725.18921396727222026786926899650389,0.3948871465364407944652445325454153393335,18856232.98236753942359747109992494460588,13117816.86698637818321405231567344558164,0.5186740711908893965855014639252905646988,13335588.09989123114337906448225712687436,15562706.24352588902837757700450022230145,0.2436993585367271904225200891896297678721,7433538.19613984568370490201865985181255,50512251.35811258643569203284389542517233,0.3812652436714350611558116325968245370871,37746789.01198940086228877367015594061954
1981,29227112.87648067998183657802810461376485,0.2813954202030788476645642793924094125479,16119776.39003219103902898906863332764726,8045438.59741867461333421832998579911891,0.2563290142148658597302297581438372511782,4042067.51542102130432930049028830958903,26168380.42956994968964064526465080468047,0.2200620949746161109626305955534211595489,11286990.49407085931276469306363989289651,21046540.46195549981776629855193704354404,0.2155770416986248182257335708931403740001,8892815.82432639944865243895455635605168,18122941.8321512750763064269346650055616,0.2215543772080488080338321026723549663148,7869825.49796794270044319817081561608297,4026252.79796666390642490973519604127861,0.3385064546367185293282287099484117818494,2671308.61781729259602142104585785584138,14096689.03418461116988151719946896428294,0.2592364157940785237162026959177055940048,7162575.27397998976818544987169487229655,16130748.24128635552066576948513623494236,0.3726321541904318175052187690423289936307,11781237.51307394602381418817056844896618,35145574.83423273411711882451313484275215,0.2959465122661398644670778915045585774564,20386372.17580839698712251963170845563663
1982,28247888.66969298100224376400937300149761,0.1723208519609564292727210309553422312689,9540692.4736530955460877984204942837311,6416931.37845309306514920858671072581003,0.2071934669107554832778283464456924261456,2605910.66809101463829177121809464769141,16285911.69720291260821617800025642748024,0.1890912317428191152266234988919298484431,6035865.28164261365811847910050419292801,12717875.49701983956202123054500457783861,0.1898267337389350930568444335812434110039,4731817.82076751531247198142439666077047,9868980.31874981954306696941354570167026,0.1915072992562811875964350385572035625862,3704364.26382405514801502581778234386794,3491879.75476858012220596030091016866907,0.2133778774793727980791133347529817527535,1460376.18535199634590466419822423667661,6377100.56398123942086100911263553300122,0.2395287118745155535560637386544563335415,2993897.41982595895544976920098066199521,14697910.04863297056672491501807674554969,0.2502435096601257323853032121943712279301,7208990.92666793793247229289681949547047,31152483.62761910789172346997989159168432,0.2722068537256227911798304255841006471489,16620642.32586581979330369503702868078416
1983,38625538.42579437810421559283766520282874,0.2365782180036590096275550352833502424593,17910403.65840432922963472279193307592846,5595975.5870001519260939674868065838623,0.2433147128039927664418384299213878898221,2668703.05790582973385460200778922513695,15244735.16297083636748464714736101430084,0.2364278246209409435433891826744799004155,7064387.96014697848981776080958607601052,12096218.40952694699710895337161100376149,0.2504306103966725239773424654099671497265,5937356.1851870292446233488011521980552,9648759.57597068444139067966055443043858,0.2483586065428390660572967154790687562283,4696850.86698370968625956493838352715686,6916542.65267503952228834266587743529471,0.3108918766294104959416354618365592456584,4214581.97315190783349287487054463681499,2732216.92329564491910233699467699514394,0.2760807648725286161438049433573578078122,1478452.57444301185652359682685796580751,30181302.03694452334298984110535622662095,0.2697969001172520833128673684282609538933,15959930.59289747128525214029739891284634,18296465.82476057282885537827084838038281,0.27827638434996232516649547972514753744,9979289.73795016624609231174832238012973
1984,27446086.02964974206082976822669756131553,0.465126546745772392537405927401403023923,25021170.30465040786298150343433183622317,4160318.95213821446707956374256842147306,0.1931245360394417001362141723128216230267,1574780.94811926630163276558850862766464,13004925.38173700004431596032868893746142,0.2063679416154482062492622960880232261032,5260247.3765074609344655484617943252779,10595931.41634197693289655467211391130562,0.2161856680860084084640321531444750135999,4489749.48398141457010519089847567425293,8844606.42959878557723639658612051598836,0.2293269735294011308213253391250575156219,3975481.37613480062294957118427589459598,4898262.3052094520929819561246407263455,0.2344906912052017150958094073308293468428,2251249.95075978032818442079843188558877,3946344.12438933348425444046147978964284,0.3907413522974582350682087470472884305039,3022319.68599823312052903121194906142367,19492259.56286238432100687722029941165944,0.5613099933928159657627505245873682737235,21444752.1694250239858124866685354062733,16328114.03426768650927549378147840306227,0.4081150628427712390751020754742300792817,13060948.59899022012546779223512163503935
1985,11959535.02357067792232813769673879112316,0.1951893582142665036234989976226699728027,4575372.97295193436166465487096233755743,2708643.81612302224706686481833796893194,0.1922181754807025691737555583183753052745,1020475.12183001970827696701459107612723,8503191.45261683489370771313571433039817,0.2205902695874017520852331449510445541565,3676413.73797663432460116166178142878517,7394068.26641667850813366122443514720305,0.2322518009304960581575131580537979640372,3365879.9153134768379999219358614187711,5794547.63649381264664084831737636146614,0.2505443533580863257856570151379748733164,2845510.73355242071156384719332636479192,4413163.68238114503809772072803419190439,0.2735386550996816403381106736440139333068,2366054.88249006213180214720209589712455,1381383.95411266760854312758934216956175,0.3117126360721199638127135931225066519099,843965.8741778085231844119173667165770328,5404005.40108123087365845632794080806586,0.2145893083366737584535855262843571411746,2272897.89128071436434211103562221900426,10772616.62265658061422607134128088664765,0.3804947315922603481693551905332954496409,8033890.78595271412292589355794518701336
1986,50553078.34842922564625313471439244205404,0.1829959422095969613388124771848507749438,18131976.07977410867221584617496034075932,3543993.99851206523891299720533684410978,0.2872131832831205110202092240870302984323,1995048.32378389282964296989654459835999,7266786.19849726837413220220643513346486,0.2651447961634277893955979597529572996186,3776431.0689129863267328724794103633218,5055655.14259583020297305787346947699061,0.3116964337014076073435253626487971325508,3088626.16882375115964249790553644786657,3722792.19998520313521920500109828935505,0.377628062840364079294890595417736542916,2755428.38140175387522479885776111302608,980527.3964376234160346821286795824576275,0.3790009005380739281737577746205381169416,728376.7018541401009859409713952771678176,2742264.80354757971918452287241870689742,0.4673585321270200985016529314178965567104,2511976.87244759247054354948167119555453,37455649.60609148014566998040854310171389,0.215530120448286561952213377237997407188,15822728.51529663911537577077355260557948,8651837.63622728606727612463979680240608,0.2304234927114112279791832981049115717231,3907429.82716260154080457223363716498891
1987,135971225.316119081572400966985749695495,0.2657856441342496908140610595425499982716,70832831.42056110092402599849414298432179,5348804.44838192158899505301840843143325,0.1912441045197315053424007123534430971845,2004937.54128463578237754987906553739641,15694055.2421399028547060444879328329782,0.1914175963111884731184808868620614411747,5888071.92841783728840155203453580215055,13022540.2837685206946075289548289933214,0.207918050586484000709445852555469588061,5306937.53139081363849457735260902324025,10345250.7937579812657109914695244015449,0.2202522225848893266180272176023016970664,4465986.38182564031394735360758184848835,6306667.78961980254978529037000054113357,0.2241795371611088914896538737864740830664,2771098.69756744835651401820337319833933,4038583.00413817871592570109952386041131,0.3341608030063895257002225205630385627763,2645090.83375471067503458131215985294692,123130988.646610639546738799847910674504,0.3530192471009894720764675652099592426534,85196513.45738086240471964952184004110421,13418187.6052033232489226338291035284048,0.2072352462380963422324798058248255207905,5450213.96836923460492437626117263174076
1988,138193281.982609425626016173182974173712,0.1610824190750202644056286742953182741693,43630595.99688327198029422019999038553958,27188072.80790167235003911796330986318073,0.3353697484160952294556152315271853439291,17871391.98950874877021117221985537560775,49262540.63598710017540328628773594101482,0.4292822895706271684514984111551826409543,41449171.01919390033475485700312174543274,29585360.35583589576044445333261274058736,0.51015578608761639584784883911596108974,29582559.82727305291652668807458075524072,22074467.82808542782536416832442607783404,0.5610242851292084677253793499010518139522,24273252.56440430292798571086363771309444,18559660.504994256986391812407076205012,0.6658779475218124770492257991588384853685,24222598.54178375415997774141660147457967,3514807.32309117083897235591734987282205,0.2433806694137003491335610069106713301019,1676654.87194204643402549928765287992096,56306593.36371969909659893266187147911651,0.1986854692347952268850647233557863077585,21927111.7700275725124723120720801033489,84403115.47082620622779486309416487034667,0.2893925261893549788911581003777879965689,47874236.37653428154014613511089412936973
1989,243692639.296217608762836516822840458841,0.2484797300654190264624538396618494206278,118683255.213257206264301070649980832572,38316093.73583928100414069099543310643364,0.2041301700954382381910684586351001344914,15330082.63411167088894807690180174448809,89457383.08900251871187928664559339257964,0.1725250315032467419076993596201356251058,30249930.15783121688279000789212820719178,66380404.16754466309216054058815668441804,0.1790576337992326699703499106363903180892,23296399.47771945008514068590048478326857,51141289.35316323770773859565016028614595,0.1887905845160001359307069165123550807962,18923788.06337574101807412625955653384018,46329633.64213523223168025502499254059817,0.2031249320243218562021022885882759420178,18444979.22117008997564053322669966619079,4811655.71102800547605834062516774554764,0.3873350065869367571970834923290039214643,3652896.48518920455935272181605464330189,183146145.64872813656683364434954713981,0.3300691381748805057300880965197201976399,118483745.290480601316792940329068628721,57758934.40138771169089634821967866853122,0.2024972318520397711645100080986217229997,22924207.68876894431279845151432573697167
1990,167355954.797204386683329671064649672808,0.1837282755542956955530014310545828043995,60266121.11812072342774783943441829913345,19822666.81901321565846724737208674872808,0.1736157538506637643126486862060269973908,6745393.39650249631580786696779649538255,68115750.12623094888368485417147663987026,0.1647409121139929424076883829068047249717,21994043.57804326818892234161985414772048,56694170.31353237855163520686162735816138,0.1783983276295546485556920912865616711364,19823724.53374746771123627130677304567596,48293083.30721773322521760679938989114228,0.1889169160052843541746546650618340496698,17881825.51106027081728855909530443162922,38932194.19376666850580141829850039142413,0.2215703039703743546945184933137654824418,16907387.47942318756870801675661759889011,9360889.11345106471941618850088949971829,0.2109059341836590174074764852024299812208,3869563.44399359931057618336202888694565,98673766.22774143934635665990690449144814,0.2740935491650095861024876556823256112576,53009851.87788661695087977839723455974618,101548666.812960521405808011693306706057,0.2370561254389994042531727663916851607057,47182557.65642559742342664983738437591157
1991,123393684.187016472917149603896567983545,0.181331390225038936608705110707088009784,43855290.66529735690285571474031611522036,32767902.81002793790208212033006026394305,0.3916333631965294620087541049169570996858,25152687.80548096951971673525453061709213,90229408.77520836366885507689707398545545,0.3465350920168968252993926834295021024156,61284606.68619217523299273950885698555699,71260025.61767795534403638497030554888515,0.3460758172487660513811979180334485123321,48336288.34149957033630693781690929439841,57461505.96518042576677295656701372151254,0.3254330615716877392302371649354266896391,36651752.6651861890726234406189554863342,39106389.8487984294162098473708344879341,0.4600221120157409122977374433615653751824,35260015.94104816145382893999963564821728,18355116.1163819963505631091961792335783,0.2391993770516565598708366618259379489127,8605443.38786881454431910905924863635287,41786565.24853951705662058776396281027162,0.2598626414509453935376677008952393973744,21283183.75638960843534458609859217799332,145920357.594297769980900351930858951826,0.3624216961914283616856700773916478977127,103654018.876042938524064308540078174653
1992,54691433.74966993421872928614484883024986,0.3007995827203814837082714221160125047473,32244274.48254900588169500181690507232921,33432365.57068035380727524562032330918655,0.3658329923734466212310643900707478976101,23972098.18413617113129021932758382161667,105705938.555220595057690415778791838405,0.3231934578906345371772174623266847874747,66960396.89042391078555654894572457868144,88515465.73606367164514356003581133825974,0.3304654478291403294983553081877099669296,57332553.9275754870856766558899461419063,72273572.98454024125041517015846852921876,0.3278772351243096031590651235671065814704,46445844.19414306039906939203926144427995,50820589.29265378990634535056171118775869,0.4373772997258970500720104771079636569419,43566433.3459875120027463848707503298159,21452983.69188645134406981959675734146017,0.4008359102686249608006244370044640968029,16854287.44238593359914234979570151448944,5144160.85913587090802635610992415875295,0.3000648028836832692024392319767501303082,3025419.96382918520562105115313943545615,53881378.76438291873182327860678135393091,0.2194818318056983305520992631885807416707,23178928.07438989831311910667938393353627
1993,30021951.67989176219069899851979688364931,0.2128767154467522093815000158469569586931,12526309.95123626774196083459823724799797,20288780.15166659757682751713531692799222,0.2327917260873895833561806719953625675101,9257197.89735951265860411927240392428439,63789729.50170212526378023981108521189717,0.2007485248192234376459402828519372872264,25099160.42832463730158188177209130778257,54216698.64349955850733582308335007658647,0.206631583054788446940124715723530765225,21957649.2466730016960972498786913928292,43500949.35003552768695272267576828390509,0.1996549314634661805505993632269382003901,17022950.95971103166800743150511760933165,27128958.94891752577106790550278587368269,0.2894782340150962440733278014388302855709,15392356.52931334643690849499802053393425,16371990.4011180019158848171729824102223,0.2525704012654867681728725819599113639149,8104757.16284513996823325715340726817604,2925593.65051556135061694536145729645286,0.3354890149072470073961161193773547746719,1923748.88238751021278612590851321157298,24869823.88987588539280133992095607255576,0.2222551392579131045388150065476746131158,10833794.49704971261541335462389448757664
1994,12814109.52828777607990210360230090546467,0.1679090643506979661221542334778982561357,4217146.07710904174077178370947630755905,10208791.52801148125637071405168824510185,0.182102602021535091936051197412494272028,3643733.10146273601807124611699197519732,39373938.53074471556111552003534011871052,0.1738966556828355612566207838492923072266,13420112.61385377037663721547658149440316,33986647.04242802510592061055249896865204,0.181669181636019435294134238049761375699,12101679.6553102736785360846893205951203,29165147.00273323430474480598365187360877,0.1885689746562428606518374952833808192183,10779298.05736784135034661239978292614305,10707318.46456545911219607644013463653291,0.2301362279442390920041750303449228942185,4829718.09035228137399342670931121434193,18457828.53816777519254872954351723707571,0.257847870861136330107432730974569896113,9328251.10700150327968923242797656442194,2667834.69212782978979401886904531213345,0.3288643618455499330931788892560941364535,1719617.27693063432235665574037451763999,27001604.93748726345346223386876177098932,0.3246351982090619430832824160801907963592,17180715.88685416824105058698775334393635
