SURVEY_YEAR,BIOMASS_MT_MALE_LE119,CV_BIOMASS_MT_MALE_LE119,CI_BIOMASS_MT_MALE_LE119,BIOMASS_MT_MALE_GE120,CV_BIOMASS_MT_MALE_GE120,CI_BIOMASS_MT_MALE_GE120,BIOMASS_MT_MALE_GE135,CV_BIOMASS_MT_MALE_GE135,CI_BIOMASS_MT_MALE_GE135,BIOMASS_MT_MALE_LE94,CV_BIOMASS_MT_MALE_LE94,CI_BIOMASS_MT_MALE_LE94,BIOMASS_MT_MALE_GE65,CV_BIOMASS_MT_MALE_GE65,CI_BIOMASS_MT_MALE_GE65,BIOMASS_MT_MALE_95TO109,CV_BIOMASS_MT_MALE_95TO109,CI_BIOMASS_MT_MALE_95TO109,BIOMASS_MT_MALE_110TO134,CV_BIOMASS_MT_MALE_110TO134,CI_BIOMASS_MT_MALE_110TO134,BIOMASS_MT_IMMATURE_FEMALE,CV_BIOMASS_MT_IMMATURE_FEMALE,CI_BIOMASS_MT_IMMATURE_FEMALE,BIOMASS_MT_MATURE_FEMALE,CV_BIOMASS_MT_MATURE_FEMALE,CI_BIOMASS_MT_MATURE_FEMALE
1975,47149.81801,0.220065239,20337.03051,87701.04097,0.173369424,29801.17072,58088.88375,0.185994261,21176.23004,18174.56073,0.344064067,12256.29803,133084.0429,0.171485502,44731.08855,14350.13092,0.208584652,5866.705447,44237.28359,0.218733933,18965.34226,9076.033102,0.522678449,9297.939936,58886.9577,0.299937577,34618.32634
1976,99164.45959,0.271177489,52706.69151,157280.3692,0.251996176,77682.74106,92067.30541,0.228985156,41320.81074,32056.49779,0.465203212,29229.06002,256362.2346,0.221594082,111344.3737,37758.41755,0.268998657,19907.64868,94562.60808,0.269551198,49959.34999,11738.45309,0.643092575,14795.86756,59577.1598,0.227378413,26551.25767
1977,82772.97564,0.195103412,31652.60838,149899.0841,0.192661804,56604.46288,93760.32277,0.211770278,38917.0732,13739.76371,0.242893631,6541.110149,232538.7214,0.176110112,80266.74363,35527.02532,0.233729278,16275.26369,89644.94794,0.186056275,32690.84994,6111.031086,0.250469322,3000.026591,132632.2455,0.189486073,49258.64803
1978,54371.20552,0.256928122,27380.20377,146682.4253,0.231018316,66417.2007,98240.95546,0.237642854,45758.67165,13353.22646,0.434300083,11366.64242,199542.2341,0.200378024,78368.40212,19470.59065,0.299150079,11416.27233,69988.85829,0.217390482,29821.22678,3795.174423,0.491696845,3657.50757,141264.6672,0.196366482,54369.70554
1979,16886.36459,0.247566571,8193.778795,86905.64767,0.254225972,43303.59865,63107.126,0.250939413,31038.68765,5804.604931,0.291410888,3315.389149,102448.1922,0.23928351,48047.75952,4926.198019,0.354715998,3424.906442,29954.08331,0.290998021,17084.49477,5131.924848,0.349074654,3511.192785,59165.37386,0.185582786,21520.94687
1980,37368.70567,0.358549572,26261.12549,129828.717,0.257054898,65411.29082,106655.0931,0.265822442,55568.58195,14009.23709,0.535252636,14697.02291,166524.2515,0.240026712,78341.72628,13180.83769,0.410581932,10607.15505,33352.25471,0.280709984,18350.12933,7594.299538,0.426675881,6350.996717,73711.98809,0.31975623,46196.94007
1981,27294.35312,0.158749106,8492.590166,41520.30214,0.155557993,12659.27715,27367.63562,0.175218939,9398.843054,8298.386624,0.203468474,3309.38172,68294.41137,0.143970517,19271.46815,10034.40193,0.181990896,3579.292797,23114.23108,0.146462358,6635.314981,4215.139633,0.232434718,1920.299789,59099.2818,0.264142792,30596.8726
1982,51267.52817,0.33319744,33481.12996,23037.90451,0.191708283,8656.451971,10183.75448,0.177390066,3540.733888,25985.90804,0.428902753,21845.03788,72296.27825,0.262877891,37249.98254,15282.06545,0.327899375,9821.520233,22853.7047,0.26264726,11764.82731,21931.91417,0.493363353,21207.98933,48912.67586,0.195457732,18738.30699
1983,25675.47816,0.255476968,12856.60689,9795.746275,0.129892997,2493.901735,2866.819344,0.169979469,955.1088421,11236.99764,0.352768482,7769.554844,34761.85239,0.209786275,14293.41668,8447.414914,0.24761429,4099.73326,12919.99254,0.143875622,3643.389058,7256.880686,0.315184311,4483.019688,7237.482903,0.18912799,2682.868766
1984,79710.43443,0.617062193,96405.13916,16848.51914,0.265003058,8751.221823,7623.1767,0.362695828,5419.192992,54162.32071,0.817585291,86793.34084,96418.30574,0.548932685,103737.2325,15701.67513,0.549417219,16908.47055,19071.78103,0.253225985,9465.762267,38805.9036,0.870149829,66183.22278,17529.17775,0.418355492,14373.51844
1985,12822.75036,0.204052675,5128.37237,14006.41651,0.15045223,4130.301338,5356.498822,0.198129529,2080.109958,3450.283934,0.263940211,1784.910591,26819.41335,0.154139788,8102.519812,4479.226692,0.225633739,1980.902746,13543.15742,0.155659746,4131.923903,1601.80021,0.357258656,1121.623701,5722.72181,0.250106731,2805.330838
1986,12381.62291,0.466533692,11321.83072,28188.65295,0.491655432,27163.84453,13032.68881,0.454905235,11620.1312,1889.780923,0.385719888,1428.695127,40549.30238,0.481327838,38254.31578,4758.331829,0.421369285,3929.829164,20889.4743,0.554133806,22688.10525,1847.315559,0.64923165,2350.69803,5061.645167,0.28828423,2860.017264
1987,16626.03764,0.270854514,8826.345205,30196.74751,0.246264934,14575.34404,18166.66021,0.25282133,9002.121638,5893.551272,0.377917405,4365.460187,46769.14416,0.225475491,20668.77964,5516.660848,0.337028166,3644.169368,17245.91282,0.248003756,8383.020262,7074.234136,0.469665266,6512.143237,15426.79454,0.320045015,9677.046632
1988,9513.035831,0.24540615,4575.732687,25860.58083,0.181068599,9177.776721,19117.25348,0.196111984,7348.28013,1240.320589,0.318650936,774.6494608,35373.61667,0.16751334,11614.08325,4880.487309,0.309858498,2964.030514,10135.55529,0.184665212,3668.50155,1204.842846,0.415363505,980.8775851,18018.92233,0.421885733,14899.77546
1989,7058.9607,0.300854606,4162.492844,35503.42719,0.229013899,15936.32546,27551.64002,0.245213132,13241.80693,1355.780048,0.354722508,942.6143715,42357.74624,0.221912158,18423.40977,2556.211296,0.36518015,1829.616145,11098.75652,0.225818474,4912.356345,1322.304144,0.634921559,1645.536442,11614.63709,0.327478824,7454.953473
1990,6343.516381,0.247826313,3081.296941,32480.64971,0.232249752,14785.50075,24526.51732,0.241849545,11626.18501,2168.327546,0.423357592,1799.236739,38727.7797,0.226618618,17201.81442,1387.815567,0.284964926,775.1383692,10741.50566,0.238051689,5011.785782,2871.375885,0.652001094,3669.39483,17995.20514,0.413339748,14578.74176
1991,6394.917954,0.228332657,2861.930468,60142.39574,0.593666047,69980.81673,52119.24566,0.609862767,62299.75121,2284.252837,0.286245408,1281.559496,66528.01983,0.543030365,70808.40043,2777.643282,0.27841467,1515.739812,9356.171908,0.446099189,8180.610171,1826.234137,0.348512098,1247.470794,15552.85747,0.437693491,13342.47358
1992,6786.668579,0.213806368,2844.024604,18326.88749,0.190277143,6834.888081,13747.16056,0.184971358,4983.948686,1155.443883,0.264549324,599.1169195,25096.2035,0.178099627,8760.46399,3360.33757,0.232765681,1533.055672,6850.61406,0.259721099,3487.328063,1087.860085,0.26250303,559.7104752,11162.50943,0.258574499,5657.226961
1993,6939.05277,0.208000109,2828.914516,28739.72511,0.226633122,12766.21233,19838.94043,0.244446635,9505.141981,1000.084793,0.316621798,620.6313451,35670.57019,0.210446848,14713.24777,2181.067424,0.237527291,1015.403553,12658.68524,0.237333848,5888.49557,1169.611683,0.331322883,759.5374641,16101.01828,0.248725734,7849.285686
1994,3600.955506,0.236265172,1667.529528,19774.73473,0.173910237,6740.496471,13371.22458,0.179133551,4694.660474,1000.900135,0.404119597,792.7873837,23002.52885,0.172540874,7778.99783,833.676859,0.231956881,379.0190842,8169.888667,0.207254226,3318.758144,1103.741714,0.333928688,722.3992035,8282.769383,0.219175419,3558.143725
1995,6358.947334,0.282891845,3525.832914,20939.4518,0.358452927,14711.38326,15569.94259,0.325421174,9930.906448,2230.052704,0.429031797,1875.256496,27251.88705,0.327309562,17482.81431,1997.114252,0.323303287,1265.520262,7501.289585,0.428577714,6301.175663,2991.536393,0.295679075,1733.688037,7868.08928,0.248951046,3839.187353
1996,9067.412513,0.257632799,4578.683219,18111.22172,0.205911124,7309.431943,15073.39108,0.222772904,6581.568492,5214.456604,0.33601764,3434.212831,26815.70126,0.186844709,9820.32893,2183.70967,0.285331313,1221.238265,4707.076873,0.221589913,2044.359879,5380.482887,0.339037492,3575.403433,12042.42545,0.289333223,6829.176586
1997,27125.60926,0.383625563,20395.91118,32533.38726,0.208910505,13321.27004,27403.15339,0.227075539,12196.26821,3202.727549,0.698201018,4382.849365,59638.32088,0.244085166,28531.38577,17192.19715,0.400659994,13500.9222,11860.91843,0.255092088,5930.227844,3051.01352,0.519317834,3105.513634,21364.57954,0.335110667,14032.61706
