SURVEY_YEAR,NUM_MALE_LE119,CV_NUM_MALE_LE119,CI_NUM_MALE_LE119,NUM_MALE_GE120,CV_NUM_MALE_GE120,CI_NUM_MALE_GE120,NUM_MALE_GE135,CV_NUM_MALE_GE135,CI_NUM_MALE_GE135,NUM_MALE_LE94,CV_NUM_MALE_LE94,CI_NUM_MALE_LE94,NUM_MALE_GE65,CV_NUM_MALE_GE65,CI_NUM_MALE_GE65,NUM_MALE_95TO109,CV_NUM_MALE_95TO109,CI_NUM_MALE_95TO109,NUM_MALE_110TO134,CV_NUM_MALE_110TO134,CI_NUM_MALE_110TO134,NUM_IMMATURE_FEMALE,CV_NUM_IMMATURE_FEMALE,CI_NUM_IMMATURE_FEMALE,NUM_MATURE_FEMALE,CV_NUM_MATURE_FEMALE,CI_NUM_MATURE_FEMALE
1975,83891970.97,0.282562695,46461293.16,40403341.37,0.17684625,14004551.61,22256963.19,0.186517616,8136578.818,53965440.91,0.385803694,40807330.27,112050497.1,0.217584493,47785683.29,17500949.13,0.210119357,7207484.841,30571959.12,0.223736763,13406539.47,32649359.44,0.547182593,35015715.84,79487944.9,0.281335905,43831113.37
1976,140291521,0.324199293,89145527.39,76207466.83,0.264563419,39516947.66,36352391.67,0.23810887,16965420.7,69243227.03,0.480754152,65246379.1,216026067.9,0.252586704,106948012.2,46524455.13,0.27319721,24912288.66,64378914.04,0.265298221,33476038.23,30440537.35,0.649970734,38779498.44,86494657.48,0.242186158,41057705.24
1977,99937322.58,0.194073381,38014541.17,70584841.92,0.18812829,26026850.98,36088154.84,0.209200372,14797324.64,28371900.95,0.234601702,13045948.66,169399628.8,0.170474168,56601391.18,43187805,0.236612876,20028829.86,62874303.71,0.189022146,23293886.19,15413867.07,0.260933384,7883105.302,146176798.2,0.182398773,52258438.43
1978,89478311.16,0.301128127,52811094.99,67875021.17,0.230752717,30698197.33,38527112.13,0.236741646,17877104.97,48215574.55,0.450072612,42532998.78,136683411.3,0.208044943,55735133.32,23002007.17,0.302758947,13649564.42,47608638.47,0.212877615,19864234.3,27830560.26,0.658606992,35925627.09,161284908.7,0.195760961,61883646.05
1979,33358605.31,0.278925856,18236972,37959405.26,0.25675645,19102791.39,23642348.33,0.251737044,11665243.55,22360980.09,0.381309695,16711858.64,60553563.46,0.208924587,24796211.36,5911822.581,0.346482865,4014756.646,19402859.56,0.296796693,11287060.91,22122869,0.423055681,18344042.62,57892452.78,0.178789737,20287129.74
1980,70809321.37,0.365144144,50676993.72,51333481.57,0.251391881,25293448.15,37479517.68,0.257517229,18917178.22,46142514.51,0.450235621,40719007.2,107186948.1,0.271763053,57093726.37,16100019.93,0.411966391,13000027.52,22420750.82,0.285783945,12558681.6,34380120.25,0.458465655,30893724.53,87925325.36,0.385491317,66433120.9
1981,41074098.15,0.165265711,13304754.51,18353676.91,0.149362484,5373047.517,9673905.994,0.17310273,3282175.889,21161434.4,0.21174118,8782264.313,55911289.11,0.150101803,16449075.25,12268425.53,0.184026391,4425119.581,16324009.14,0.145885688,4667621.052,13081354.2,0.273836083,7021007.713,58366515.56,0.258854929,29612582.03
1982,110873064.2,0.389022413,84538929.58,11998810.02,0.20748873,4879651.002,4002738.39,0.187201645,1468665.655,83372996.93,0.447135154,73066835.67,110668289.4,0.349073565,75717493.76,19083566.68,0.335684813,12555884.5,16412572.24,0.269359208,8664919.822,72360764.49,0.477627591,67740535.38,52905466.23,0.210454774,21823047.57
1983,46204619.33,0.269830717,24436154.1,5686584.281,0.131431951,1464901.781,1287100.81,0.169243083,426952.502,30650844.73,0.318024384,19105523.41,45618122.71,0.270325239,24170190.67,10446734.42,0.251025676,5139901.191,9506523.653,0.147703445,2752126.733,23781208.82,0.291490224,13586700.18,8684835.539,0.21105757,3592680.559
1984,164900177.2,0.718863224,232339719,9076902.753,0.264052353,4697683.958,3340527.076,0.390666332,2557861.66,137408182,0.830419924,223648724.4,173198635.1,0.692360394,235035115.6,19071006.14,0.548749289,20511794.08,14157364.81,0.26577653,7374882.767,109822281.8,0.853358997,183686951.2,27424602.08,0.443993424,23865632.26
1985,16813167.12,0.212747569,7010842.453,7638642.05,0.148534847,2223824.872,2318732.794,0.198575882,902471.0446,7363297.586,0.275540295,3976614.975,24354052.22,0.175562316,8380281.453,5280672.532,0.224076669,2319220.004,9489106.255,0.160119797,2978011.782,4284267.806,0.373242092,3134175.392,8382653.92,0.251248317,4128010.267
1986,15234700.69,0.392671118,11725164.83,14759207,0.504958603,14607465.54,5575423.36,0.463618637,5066345.549,4789035.402,0.422052358,3961598.422,29867534.8,0.440809392,25805144.15,5650289.042,0.416460792,4612122.742,13979159.89,0.56584434,15503655.87,5223860.247,0.666022319,6819246.728,6394595.023,0.29119541,3649670.365
1987,24407646.54,0.288841697,13817894.24,14603461.55,0.246114224,7044474.427,7338402.173,0.253388325,3644552.248,13436787.41,0.406113237,10695440.19,38619738.48,0.233460897,17671749.65,6620017.71,0.329603255,4276679.601,11615900.8,0.250756818,5709021.984,17416697.89,0.498779257,17026691.75,18458314.74,0.315869113,11427606.55
1988,11336845.94,0.256801928,5706194.84,11557060.55,0.174915158,3962149.938,7507727.307,0.191699136,2820880.679,2506808.414,0.300116277,1474574.658,22893906.49,0.176840778,7935209.439,5935848.607,0.315615279,3671951.251,6943522.166,0.184802395,2515031.87,2522153.09,0.365257255,1805620.04,20146081.07,0.430350373,16992952.07
1989,9957375.683,0.312542169,6099715.591,15099473.25,0.218212403,6457989.002,10395137.63,0.234057017,4768787.604,4234027.998,0.499407618,4144431.439,22918807.81,0.219869745,9876738.752,3040325.09,0.363640328,2166946.236,7387358.211,0.22798127,3300991.437,3940422.693,0.579364363,4474563.347,13244090.79,0.329966375,8565405.08
1990,9663676.249,0.266173025,5041531.473,13656571.28,0.227766095,6096587.68,8878607.093,0.23647679,4115185.626,5708681.314,0.379435129,4245505.496,22393281.87,0.223362798,9803579.145,1588863.771,0.281423874,876402.6262,7144095.355,0.241200795,3377396.497,7822957.386,0.576137213,8833909.854,17013733.13,0.413540319,13790294.68
1991,9739249.768,0.23277327,4443392.543,23240916.16,0.571958721,26053975.59,18483226.95,0.594130025,21523622.59,5245491.118,0.285654046,2936855.69,32831972.36,0.422725157,27202645.28,3313717.161,0.278569763,1809278.751,5937730.699,0.425008045,4946223.302,4765415.89,0.336482976,3142823.39,14902114.9,0.473113209,13818759.32
1992,8318216.304,0.212589268,3465992.484,7473232.472,0.202857613,2971364.113,4648647.412,0.182153208,1659661.438,2281874.185,0.256268542,1146154.238,15653666.79,0.184754062,5668473.901,4100087.225,0.232246942,1866376.134,4760839.954,0.260136126,2427394.264,2278148.975,0.262683205,1172925.691,10205840.26,0.246821179,4937274.35
1993,8155144.842,0.204753199,3272792.302,12530844.6,0.2292515,5630521.245,6976858.53,0.252731337,3456010.736,2418584.485,0.330261119,1565578.259,20585346.14,0.197360553,7962961.174,2545322.695,0.240491831,1199773.46,8745223.727,0.24145515,4138695.436,2839620.07,0.334415676,1861242.389,13998695.52,0.255831296,7019356.659
1994,7058999.829,0.475346204,6576718.793,8555071.337,0.174743038,2930080.737,4789224.287,0.178521987,1675764.402,4578597.127,0.710066959,6372176.652,12338606.91,0.176424473,4266591.164,991509.188,0.232597654,452020.5145,5254740.563,0.211123597,2174423.467,3784593.418,0.733036726,5437522.097,6114735.58,0.212686879,2549027.093
