"SURVEY_YEAR","BIOMASS_MT_MALE_LE119","CV_BIOMASS_MT_MALE_LE119","CI_BIOMASS_MT_MALE_LE119","BIOMASS_MT_MALE_GE120","CV_BIOMASS_MT_MALE_GE120","CI_BIOMASS_MT_MALE_GE120","BIOMASS_MT_MALE_GE135","CV_BIOMASS_MT_MALE_GE135","CI_BIOMASS_MT_MALE_GE135","BIOMASS_MT_MALE_TOTAL","CV_BIOMASS_MT_MALE_TOTAL","CI_BIOMASS_MT_MALE_TOTAL","BIOMASS_MT_IMMATURE_FEMALE","CV_BIOMASS_MT_IMMATURE_FEMALE","CI_BIOMASS_MT_IMMATURE_FEMALE","BIOMASS_MT_MATURE_FEMALE","CV_BIOMASS_MT_MATURE_FEMALE","CI_BIOMASS_MT_MATURE_FEMALE","BIOMASS_MT_FEMALE_TOTAL","CV_BIOMASS_MT_FEMALE_TOTAL","CI_BIOMASS_MT_FEMALE_TOTAL"
1976,94.98417623956738707438468838351122295363,0.3991758986677619777447995106873834280961,74.31417206290693664436541706198611084214,207.457155579607687242878199719650663109,0.4722116941814602573386434453847322778466,192.008842016374120305736597695629308578,207.457155579607687242878199719650663109,0.4722116941814602573386434453847322778466,192.008842016374120305736597695629308578,302.441331819175074317262888103161886063,0.3905557026980076981695281006187830439684,231.515566272176102688006871657667810082,14.84451267930409959764457417057538086453,1,29.09524485143603521138336537432774649448,0,0,0,,,
1979,0,0,0,109.824528931945017708089001374578663733,1,215.256076706612234707854442694174180917,109.824528931945017708089001374578663733,1,215.256076706612234707854442694174180917,109.824528931945017708089001374578663733,1,215.256076706612234707854442694174180917,9.35814131864467789656863862882948388021,1,18.34195698454356867727453171250578840521,39.45313284446870249930947023790626653958,0.999999999999999999999999999999999999999,77.3281403751586568986465616662962824175,,,
1980,28.58718764964061892080173721909147918818,0.6755415532820574502829680099294910674821,37.85119297165559079944163208585132903865,703.970295768809411199480940170985240936,0.3839352522788852636446779369087017224225,529.746865681565060462207283396693022089,644.289967858706649825240955339059812535,0.3517781840702718419841741691543113590418,444.228423619738087888101622466901838275,732.557483418450030120282677390076720125,0.3569954803881668682065011767809171561505,512.578632981635660818017654839159887597,19.18204664033409335271521178463448003642,0.6624829994969766606240834759876260915874,24.90724839776769065862273545130685781047,40.0712750579871976628446653894378016649,1,78.53969911365490741917554416329809126348,,,
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.71315194157217032826866836146486792134,0,0,,,
1982,375.155425180788000294213067058447532761,0.3212700249427473788470891567544646599976,236.231337898267967528058510463561220943,838.392575132988504914735384073196746565,0.3236127851192204480923239557032371606496,531.776530273640920108828907631265211734,567.730311102127752746395946016072351412,0.362046823550186395280910082675319546038,402.868113304661570566744921766459138628,1213.548000313776505208948451131644279331,0.1962538628819391344722956035392926493639,466.800426394293395019295373398288383401,0,0,0,586.363436153781408131984079253065156869,0.2688675257072912310774936139200732426019,309.002009038029188694537671380660778094,,,
1983,275.982838165862019232754338058296744152,0.2370749036876767326638241885990006091023,128.240065364141888582669507356024255363,751.398103866834903830099673509594136148,0.3081261165246426876367161889740065096732,453.789744228597164023332421936407466892,303.499654366136547935197980936325156235,0.5367371258870313377314815268154660542744,319.28308309668756371881449236172607379,1027.380942032696923062854011567890880304,0.2143683902457782669985661365620979710035,431.666477476971329500773394108509705263,0,0,0,49.2562468495412719475176659134468716954,1,96.54224382510089301713462519035586852316,,,
1984,188.268758122781128715356375059428329825,0.6963291743323228764165877295576940320975,256.950176636567658792590723091310988224,1082.067460427987720543937968007546503611,0.2824030943483083674409657528180228771299,598.935230272219716273428136413833462533,497.396298988120903579258752751862253528,0.4947402063686496542877003501038534753867,482.320617312435582069095605545821171615,1270.336218550768849259294343066974833435,0.2329137234290204577022852481361852324717,579.922327792026867699224341190191110892,18.71775754419363004533233258012550887754,0.9999999999999999999999999999999999999984,36.68680478661951488885137185704599739992,44.98588883606911566084290828900653918503,0.9999999999999999999999999999999999999987,88.17234211869546669525210024645281680254,,,
1985,67.77113552869245782880922480918551464734,0.5800215883547701190602244787271008402245,77.04509448095884183674559077387578811923,191.193807465003947572434379456395599636,0.5999189927100814463647086158152553206331,224.813560918148420935026560290334388196,191.193807465003947572434379456395599636,0.5999189927100814463647086158152553206331,224.813560918148420935026560290334388196,258.964942993696405401243604265581114283,0.3006829489995946801409117879104324002197,152.618031783838857506983228056811617196,0,0,0,0,0,0,,,
1986,119.400300263130359938421371189861187314,0.4208888272040553691074458781167744494682,98.49833459729956173323367606856254349817,410.170139194741573017176500832726706175,0.5285930747921819311914146276176434851802,424.953666327175983174129559969062901777,295.759998153444601392877374418701056904,0.6882699508821510018836241347400056479806,398.982930027873718160547015245288896245,529.570439457871932955597872022587893492,0.4235046942940936663268576466085337051011,439.580111456797986313037908537922786749,32.0728242521627600177643532615508368759,0.782265972628983898750544353832145596509,49.17537895481006663474840734478687467329,38.94983005691969703186982613709629498848,0.6666748043406250632518660940545200735492,50.89506585130317093092785388115974171811,,,
1987,107.898868915561281083736529622707446119,0.5596386327794946391100929001426358618303,118.353375937582912337441203113766963827,671.105921333685726310717264726304892056,0.3685400843256855083710918622463336728177,484.765688365975469418545773671569151929,528.360284943444850175349334408318345235,0.5095675885159507253068984766738482810729,527.701141481814290671415954506029638356,779.004790249247007394453794349012338176,0.3228910743154578960021633601451691411531,493.006039496115919792369736637447271092,16.6958399485575352514215483702217748418,1,32.72384629917276909278623480563467868995,53.10602465882684202414118778795337402893,0.6719443377348341177567006681884908107094,69.94121343544613778532180690363386601523,,,
