"SURVEY_YEAR","NUM_MALE_LE119","CV_NUM_MALE_LE119","CI_NUM_MALE_LE119","NUM_MALE_GE120","CV_NUM_MALE_GE120","CI_NUM_MALE_GE120","NUM_MALE_GE135","CV_NUM_MALE_GE135","CI_NUM_MALE_GE135","NUM_MALE_TOTAL","CV_NUM_MALE_TOTAL","CI_NUM_MALE_TOTAL","NUM_IMMATURE_FEMALE","CV_NUM_IMMATURE_FEMALE","CI_NUM_IMMATURE_FEMALE","NUM_MATURE_FEMALE","CV_NUM_MATURE_FEMALE","CI_NUM_MATURE_FEMALE","NUM_FEMALE_TOTAL","CV_NUM_FEMALE_TOTAL","CI_NUM_FEMALE_TOTAL"
1976,185076.3440302504175648640213023156906623,0.4603067349341686980321338491472420235575,166976.0997628702887313820181677800246096,82129.3992987007402634809640297313165964,0.4483788796707787294897466708836130694314,72177.1725693475372546507328426736692974,82129.3992987007402634809640297313165964,0.4483788796707787294897466708836130694314,72177.1725693475372546507328426736692974,267205.7433289511578283449853320470072595,0.2984268286258437767485664701235432381503,156293.0706416494080962168815442982335358,31201.4587260760952224229343421455137527,1,61154.8591031091466359489513106052069553,0,0,0,,,
1979,0,0,0,40615.3677318199882204554999623821645561,1,79606.12075436717691209277992626904253,40615.3677318199882204554999623821645561,1,79606.12075436717691209277992626904253,40615.3677318199882204554999623821645561,1,79606.12075436717691209277992626904253,40615.3677318199882204554999623821645561,1,79606.12075436717691209277992626904253,40615.3677318199882204554999623821645561,1,79606.12075436717691209277992626904253,,,
1980,79915.0861431734982435921697274457845965,0.6615530638312354717920129071013109357108,103621.4173653329357285076440634585861466,269173.7849462966047887239488785035096895,0.4244082891945731950010112567439232697521,223909.5877075679764539188474969732027053,229874.0665349430947655872791134398896494,0.3591124006018007070568856817485291211593,161799.2306241444898229569327619756451778,349088.871089470103032316118605949294286,0.2930858847395457749460440286528910675159,200533.5204465337123500505941887054550524,73221.8823151373416326087637143288719278,0.6641939346501740199762548096691153239007,95321.7190300708059580779450801001645314,39299.7184113535100231366697650636200406,0.9999999999999999999999999999999999999975,77027.4480862528796453478727395246952794,,,
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40457.688952875365589267655673233646266,0,0,,,
1982,411696.2436529637579792147013910502774543,0.3235019848369550739535719305651035057436,261041.7218644387887491178410185812504237,358538.4098742389781869669547618702792937,0.2953523613680935655717175965186103822446,207554.5253551350388627106398426575590103,178232.0653508704347937492154613314430853,0.3438263214776063744857571824776288640897,120110.515781934407532600198750864328097,770234.6535272027361661816561529205567464,0.1495310477966885589551036582886038384846,225741.0297908343284202866277817883955197,0,0,0,485088.7289020170338617759369729468823731,0.2605335121558408318845725694602418374065,247708.4656861878642208732200661379050063,,,
1983,339730.1814477996847322403972232806746047,0.1792109942257122374202322219924775040246,119331.4318280539279755308896585336660256,375380.1066980154663743714297343255103584,0.3200386407000749881454236569246059712024,235466.8326232246892359587923182852994382,105516.7244512739335941466740649919610502,0.5311218720404333787895619192025574211721,109842.7908353849568840501552014434843259,715110.2881458151511066118269576061849627,0.1499143476571034596880048518728825238205,210122.3730065158005775122301340044700227,0,0,0,40983.2861743773126728983866191192171866,1,80327.2409017795328388808377734736656857,,,
1984,209913.0489594244838270946060330337076425,0.5728111702982683093047032742588913842374,235671.4569012382373906634821201849302246,551771.4366874210924735329529441420271381,0.2502174086024123916150847684985493440896,270603.1252963628630155121252390302462402,190983.2231859787699332379593507977848119,0.4206221479169586399986585851814033001361,157450.2761630769627177894199165940142097,761684.4856468455763006275589771757347782,0.1969079479625203939103593658813876385565,293964.1889646720340065754043876772480112,36642.7016687574241225671940755391109237,1,71819.6952707645512802317003880566574105,40145.9771536676703855279708399617286199,1,78686.115221188633955634822846324988095,,,
1985,66847.1119362551475927504529637104561623,0.5775430222522396303921899822720201675558,75669.8827907371778182645642500277599006,70564.330694657775810684014178314254486,0.5823657356739928667367980291779725876656,80544.7267803810917667116818566939467537,70564.330694657775810684014178314254486,0.5823657356739928667367980291779725876656,80544.7267803810917667116818566939467537,137411.4426309129234034344671420247106483,0.0427841214219572398183159300290582756131,11522.8945787230882184043491697271232081,0,0,0,0,0,0,,,
1986,154349.2535046711755282728167350221812488,0.3352122540701443433655514080966612662311,101409.9319154361045748719246160725093821,168219.1258416786651067617999889667719213,0.542601059475080833799705877305053487322,178900.7167751069134774929953381249664852,97758.4956109327453578055823283050715252,0.7158515016512764918708064582227914264262,137161.9091292216185791239615819913656358,322568.3793463498406350346167239889531697,0.3111790741007698829462338495077879057973,196737.99805359877117478152080482366711,60379.2315152101396432779572957214687046,0.6673182319683055837381963256503287960869,78972.6375637766529161083650980259077861,60796.5278792068443979676148464678549514,0.6711486915334736192233731700140478596536,79974.8798663797260597487888646220512394,,,
1987,107933.672823394627490584842339272923867,0.5164642756478588347252730618690688170052,109258.0168593850859444544416969063492762,273687.8567293995383387767803762417272329,0.2876731386332867920752577076334360182121,154315.9837122808262608515242388450950318,182721.1016333841485538965195107232996882,0.4812244255761435947693855933723055333592,172342.5200613642624533975168449925650817,381621.5295527941658293616227155146510999,0.2146577888743177408558174244876074833967,160559.3460924502809360819629088902212176,31561.9281511732613122955597259624827861,1,61861.3791762995921720992970628864662608,63793.3173285360508769202718543191995097,0.6745826956083344641904799478446113278647,84346.3812119521773175485277817599429798,,,
