"SURVEY_YEAR","NUM_MALE_LE119","CV_NUM_MALE_LE119","CI_NUM_MALE_LE119","NUM_MALE_GE120","CV_NUM_MALE_GE120","CI_NUM_MALE_GE120","NUM_MALE_GE135","CV_NUM_MALE_GE135","CI_NUM_MALE_GE135","NUM_MALE_LE104","CV_NUM_MALE_LE104","CI_NUM_MALE_LE104","NUM_MALE_GE105","CV_NUM_MALE_GE105","CI_NUM_MALE_GE105","NUM_MALE_105TO119","CV_NUM_MALE_105TO119","CI_NUM_MALE_105TO119","NUM_MALE_120TO134","CV_NUM_MALE_120TO134","CI_NUM_MALE_120TO134","NUM_MALE_RECRUIT_PRIB","CV_NUM_MALE_RECRUIT_PRIB","CI_NUM_MALE_RECRUIT_PRIB","NUM_MALE_PR_PRIB","CV_NUM_MALE_PR_PRIB","CI_NUM_MALE_PR_PRIB","NUM_IMMATURE_FEMALE","CV_NUM_IMMATURE_FEMALE","CI_NUM_IMMATURE_FEMALE","NUM_MATURE_FEMALE","CV_NUM_MATURE_FEMALE","CI_NUM_MATURE_FEMALE"
1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27182.7907758885666158919556271584412671,1,53278.2699207415905671482330292305448835,0,0,0
1976,0,0,0,50778.3490364518124556369842013940833198,0.999999999999999999999999999999999999998,99525.5641114455524130484890347324033066,50778.3490364518124556369842013940833198,0.999999999999999999999999999999999999998,99525.5641114455524130484890347324033066,0,0,0,50778.3490364518124556369842013940833198,0.999999999999999999999999999999999999998,99525.5641114455524130484890347324033066,0,0,0,0,0,0,0,0,0,50778.3490364518124556369842013940833198,0.999999999999999999999999999999999999998,99525.5641114455524130484890347324033066,46856.1011457624282709407719665687928305,1,91837.9582456943594110439130544748339482,50778.3490364518124556369842013940833198,0.999999999999999999999999999999999999998,99525.5641114455524130484890347324033066
1977,152317.9096307741171467099276348263964044,0.9999999999999999999999999999999999999987,298543.1028763172696075514581642597369522,76158.9548153870585733549638174131982021,1,149271.5514381586348037757290821298684763,0,0,0,76158.9548153870585733549638174131982021,1,149271.5514381586348037757290821298684763,152317.9096307741171467099276348263964044,0.9999999999999999999999999999999999999987,298543.1028763172696075514581642597369522,76158.9548153870585733549638174131982021,1,149271.5514381586348037757290821298684763,76158.9548153870585733549638174131982021,1,149271.5514381586348037757290821298684763,0,0,0,0,0,0,38079.4774076935292866774819087065991011,1,74635.7757190793174018878645410649342382,152317.9096307741171467099276348263964044,0.9999999999999999999999999999999999999987,298543.1028763172696075514581642597369522
1978,0,0,0,367139.7254070079199476085080785410795636,0.8348464132788898239763631351388502377929,600750.3545393446384317119781283285373878,367139.7254070079199476085080785410795636,0.8348464132788898239763631351388502377929,600750.3545393446384317119781283285373878,0,0,0,367139.7254070079199476085080785410795636,0.8348464132788898239763631351388502377929,600750.3545393446384317119781283285373878,0,0,0,0,0,0,152307.6289943249558267081248589331170847,0.8207313811473276425007895279656423635415,245007.1553794226887031524195553505161714,214832.0964126829641209003832196079624789,0.8608002876994233353750538517694590613013,362457.9595822511848527570012453067414229,0,0,0,60923.0515977299823306832499435732468342,0.9999999999999999999999999999999999999984,119409.1811315507653681391698894035637948
1979,0,0,0,199032.7089771752769995189259880230555535,0.4928291509505542135090854856312231030158,192254.6771141556809657752525460936733789,155519.6000072578349337937509415526918294,0.5754829508798514365621990249639801931641,175417.8015303885713270230502596948391146,0,0,0,199032.7089771752769995189259880230555535,0.4928291509505542135090854856312231030158,192254.6771141556809657752525460936733789,0,0,0,43513.108969917442065725175046470363724,1,85285.6935810381864488213430910819128992,50778.3490364518124556369842013940833197,1,99525.5641114455524130484890347324033066,104741.2509708060224781567667401586085097,0.7178439513771701462741589713714839758472,147368.231999379657408627848292601278184,0,0,0,64125.8832389860342577012667777764439536,1,125686.7311484126271450944828844418301491
1980,60923.0515977299823306832499435732468341,0.9999999999999999999999999999999999999984,119409.1811315507653681391698894035637946,391266.3178793508081435439937575191138726,0.3788305212363380817196179237718293475015,290518.3013631361370877919044052976634017,391266.3178793508081435439937575191138726,0.3788305212363380817196179237718293475015,290518.3013631361370877919044052976634017,60923.0515977299823306832499435732468341,0.9999999999999999999999999999999999999984,119409.1811315507653681391698894035637946,391266.3178793508081435439937575191138726,0.3788305212363380817196179237718293475015,290518.3013631361370877919044052976634017,0,0,0,0,0,0,0,0,0,391266.3178793508081435439937575191138726,0.3788305212363380817196179237718293475015,290518.3013631361370877919044052976634017,0,0,0,134331.9595736544633172970293160505748343,0.7043140669581826192980499102623950487464,185439.3019887741908188435166357899237463
1981,0,0,0,83002.7817638952258396989372871862510892,0.5714902776158917281597306753025125769814,92973.1542745539255168055241145781306983,83002.7817638952258396989372871862510892,0.5714902776158917281597306753025125769814,92973.1542745539255168055241145781306983,0,0,0,83002.7817638952258396989372871862510892,0.5714902776158917281597306753025125769814,92973.1542745539255168055241145781306983,0,0,0,0,0,0,17174.3263849450422343148179207488271306,1,33661.679714492282779257043124667701176,65828.4553789501836053841193664374239586,0.5702622197412962765145399285119196132653,73577.3829296203726505908306812486727748,0,0,0,19306.7319077111787356191804138650591156,1,37841.1945391139103218135936111755158666
1982,20219.8562347307880703055738219562649737,1,39630.9182200723446177989246910342793485,331946.6233817162064996482005886891034937,0.686520067841972874172041844016997063952,446660.5160717020732742031527391265505669,331946.6233817162064996482005886891034937,0.686520067841972874172041844016997063952,446660.5160717020732742031527391265505669,0,0,0,352166.4796164469945699537744106453684675,0.7026004524495295977309229532562045938606,484967.3627155044538329680152448242893723,20219.8562347307880703055738219562649737,1,39630.9182200723446177989246910342793485,0,0,0,20219.8562347307880703055738219562649737,1,39630.9182200723446177989246910342793485,311726.7671469854184293426267667328385202,0.6687670897068684163231892853611499121959,408606.3015832953560692641636300947162739,20058.3168628386311286342611739795067973,1,39314.3010511637170121231519009998333227,461638.772193000174388360575526248875959,0.7546968089275772184027787249759277064299,682858.7241725519195531125825734964160396
1983,22073.9773613615843095513901317111875017,1,43264.9956282687052467207246581539275033,122661.0705864444090718058141168772047671,0.5883932264697702938147619511976047588462,141458.9684458047591892034380493703994317,100587.0932250828247622544239851660172655,0.5293322891824725013525956907092453411375,104358.232785325970207092914869098470269,0,0,0,144735.0479478059933813572042485883922689,0.6391442150467294955256578293644196310497,181312.8744762883880395110103194858377834,22073.9773613615843095513901317111875017,1,43264.9956282687052467207246581539275033,22073.9773613615843095513901317111875017,1,43264.9956282687052467207246581539275033,0,0,0,100587.0932250828247622544239851660172655,0.5293322891824725013525956907092453411375,104358.232785325970207092914869098470269,0,0,0,152463.510452317284840832710448886694779,0.4721601468258564922415201455091392524465,141094.8992222732049640704991845889921481
1984,0,0,0,76883.4355737460333066723713934303980493,0.4810568394443040331985022365006033126329,72491.1929445430358184234242758741663838,57892.9307894767342132876900071899243203,0.5629717907504483262325540657578954876298,63880.4903599532271407346964299753359937,0,0,0,76883.4355737460333066723713934303980493,0.4810568394443040331985022365006033126329,72491.1929445430358184234242758741663838,0,0,0,18990.5047842692990933846813862404737292,1,37221.3893771678262230339755170313285092,0,0,0,57892.9307894767342132876900071899243203,0.5629717907504483262325540657578954876298,63880.4903599532271407346964299753359937,0,0,0,59637.1236920338417244150081460098309971,0.5628069754183265674072696801956226543593,65785.8108472138949532490151018071726781
1985,0,0,0,16822.684597691037677333196656915044579,1,32972.4618114744338475730654475534873748,16822.684597691037677333196656915044579,1,32972.4618114744338475730654475534873748,0,0,0,16822.684597691037677333196656915044579,1,32972.4618114744338475730654475534873748,0,0,0,0,0,0,0,0,0,16822.684597691037677333196656915044579,1,32972.4618114744338475730654475534873748,0,0,0,0,0,0
1986,0,0,0,38418.8837281056215567811895729130812276,0.6986691510904494769511070649172171192743,52610.494205110145283726080840586464812,38418.8837281056215567811895729130812276,0.6986691510904494769511070649172171192743,52610.494205110145283726080840586464812,0,0,0,38418.8837281056215567811895729130812276,0.6986691510904494769511070649172171192743,52610.494205110145283726080840586464812,0,0,0,0,0,0,0,0,0,38418.8837281056215567811895729130812276,0.6986691510904494769511070649172171192743,52610.494205110145283726080840586464812,0,0,0,39775.0295076543654661218864262457352104,0.9999999999999999999999999999999999999975,77959.0578350025563135988973954416410122
1987,0,0,0,18610.9526442095889386675008811315709864,1,36477.4671826507943197883017270178791333,18610.9526442095889386675008811315709864,1,36477.4671826507943197883017270178791333,0,0,0,18610.9526442095889386675008811315709864,1,36477.4671826507943197883017270178791333,0,0,0,0,0,0,0,0,0,18610.9526442095889386675008811315709864,1,36477.4671826507943197883017270178791333,36832.0867146586942594748161002266023309,1,72190.8899607310407485706395564441405688,0,0,0
1988,1897585.8006960995432305840350095139909,0.7636736647400878216764716060936586158224,2840307.15304963469152325179003043340957,66188.7966166118725611546954331817954267,1,129730.0413685592702198632030490363190363,22062.9322055372908537182318110605984755,1,43243.3471228530900732877343496787730122,1505106.83893850252107952818417505551619,0.94449771447440758998167355313479078331,2786277.14005774321470245807931677302017,458667.7583742088947122105462676402701393,0.7047868278864377053390779642191298490334,633595.4691775498511398707515776613021295,392478.9617575970221510558508344584747126,0.7360540712698622144358044783037272784597,566216.0458713177763394194821391811235767,44125.8644110745817074364636221211969512,1,86486.6942457061801465754686993575460244,22062.9322055372908537182318110605984755,1,43243.3471228530900732877343496787730122,0,0,0,1617759.69157360102822573710096279756133,0.9851267127445009832854262041017186418163,3123648.64246210036134255021367971432597,420478.1230131025479316651479058364476063,0.89998203808078604984717961273496248536,741708.6059107223768559987077640106985556
