"SURVEY_YEAR","BIOMASS_MT_MALE_LE102","CV_BIOMASS_MT_MALE_LE102","CI_BIOMASS_MT_MALE_LE102","BIOMASS_MT_MALE_103TO124","CV_BIOMASS_MT_MALE_103TO124","CI_BIOMASS_MT_MALE_103TO124","BIOMASS_MT_MALE_GE103","CV_BIOMASS_MT_MALE_GE103","CI_BIOMASS_MT_MALE_GE103","BIOMASS_MT_MALE_GE110","CV_BIOMASS_MT_MALE_GE110","CI_BIOMASS_MT_MALE_GE110","BIOMASS_MT_MALE_GE125","CV_BIOMASS_MT_MALE_GE125","CI_BIOMASS_MT_MALE_GE125","BIOMASS_MT_MALE_GE125_NEW","CV_BIOMASS_MT_MALE_GE125_NEW","CI_BIOMASS_MT_MALE_GE125_NEW","BIOMASS_MT_MALE_GE125_OLD","CV_BIOMASS_MT_MALE_GE125_OLD","CI_BIOMASS_MT_MALE_GE125_OLD","BIOMASS_MT_IMMATURE_FEMALE","CV_BIOMASS_MT_IMMATURE_FEMALE","CI_BIOMASS_MT_IMMATURE_FEMALE","BIOMASS_MT_MATURE_FEMALE","CV_BIOMASS_MT_MATURE_FEMALE","CI_BIOMASS_MT_MATURE_FEMALE"
1975,5763.926005840745687943676423537543982237,0.1978262422662631399224288998596689578818,2234.901411975080980777834703092680765783,16234.1799812325399163045371591125006897,0.288566962296121822629391892275202652375,9181.910085003460607290686623360420574239,74925.0520528480033192047982082025159378,0.3636611207690775122049682120266945355953,53404.7636703115463544573336443819262536,72449.4899645080809006983743754347163368,0.3732334603162321515115254265596477584789,52999.5247216949931870365968045951315509,58690.8720716154634029002610490900152487,0.4083578851596130296173930982821221937486,46975.0855787830426586516580340442011288,56181.4594310531300329039347873906330212,0.4231178923036214692312383372366215533144,46591.9061739768892720501020376659623726,2509.412640562333369996326261699382227778,0.3277874224108668171448836339228949875669,1612.205646381741569565837447626926959912,262.302907992102150371283829862071334081,0.5113336589565895368535237007110831640422,262.883639169168280063803628396994395234,13111.5524521454808283558157783233370864,0.3850968447462546315585506210373372586675,9896.466258930635182789583484776111981141
1976,6054.104240748349433674804850012022403573,0.3518601580927154708022146892132661714752,4175.188227508607054079842350074149779367,9397.462184384405092491472657230453779021,0.2468878859447815300444462924723643079254,4547.434361019441222677304667334030157421,49037.8215855391440715108162866133751521,0.2148079786839983502855297259261739799336,20646.082054358165022155406428063629076,47202.5533586272411184356609487514731469,0.2188700032287416017406200250325159713839,20249.1970917748803219075014252240232785,39640.3594011547389790193436293829213729,0.235158681758364677630256487466592010154,18270.6783359585594802750046545076853235,38106.8302562676459915279723686002378516,0.2423827827819836361547095094060194637981,18103.4215386090916099625790586398231691,1533.529144887092987491371260782683521248,0.3415633932063055174891863903307997555278,1026.642939884463228808091455110136359351,1950.421701356947934182853917488358864178,0.5706434026602947031194299792074730115119,2181.470741518227411358144399703512604341,10189.3389724822335424686287896401072766,0.4221920321651841122052024471373024273654,8431.641145335879023628642874199746545366
1977,10731.1878070664734456759854308076472628,0.4327737127113508657985454491534706946807,9102.584938571197071618787229164712029015,6988.518104973489688878284973068249593286,0.2845864958297133689909851879946406290866,3898.12224193235222323277997283527014186,40307.0649387499332426563150834916069813,0.2722468862484472003379049575842452468262,21508.0069298417098919475627197274732861,39012.2527486140367297834100944342741111,0.278531474109404519647178415034765934394,21297.6349221442663243161689435984046469,33318.5468337764435537780301104233573881,0.3000552052554803644013125597789215062677,19594.910681685327314985791923561220548,26510.8713101592333914282385206927937293,0.3595963333862408236839284016914316032933,18685.0957512951836203240221623604928379,6807.675523617210162349791589730563658695,0.3023388991047976478861079015178269186475,4034.121241615284232751383381836765708022,13341.2225159511407330949208150972391212,0.646384957731108137721337059208684376366,16902.1884820265970802340160018440033403,8271.706174379696984890146358204478590033,0.360825355644005055962480586264942876641,5849.89699142040266751993891687516240287
1978,11890.9837418865631964002782012889995168,0.2375931435787023540926208781025977737502,5537.423766657016383087100354152085666781,3656.730927694880761007436736955902990679,0.2010694783858839496161968578318919094565,1441.10368124911281426319211422174431568,13503.4218106623913218597194159501551568,0.2440990495994850309636262816163013497656,6460.497963434348167062854679572204669332,12409.0230960454768526619343208610873143,0.248789433637221271741841791999098224105,6050.978302990450325179770971716197539426,9846.690882967510560852282678994252166159,0.2730469792015066943411540649218667233099,5269.674033421579069881857106707204254318,3220.526663621456317753703064731256540805,0.2593914887756673859802911470463093366165,1637.339323600264942414825877677322013794,6626.164219346054243098579614262995625354,0.320100713297506600669945931782224125069,4157.238190356612380688762444442435258935,6101.966433410206926967290291104903371075,0.2686860574518453414505452966769261914604,3213.446075245113871994461261676169693976,8065.428449468881047954994197193015641174,0.2616475451369714729677152810552038926153,4136.18712639158887407048342799604381145
1979,16462.3592036717289259340230060971085392,0.2850266703742087697161068909307149601685,9196.734403440457152139264968852119127349,7735.514010004787336628770235309202150892,0.2036948425048958376943744828632823465447,3088.341243606187187638024957599146573567,15595.5275890956962174813798725237315511,0.202279454255276203182487345086320005407,6183.123426708946474220394320159645774387,12912.743372271673973060390274629206202,0.2131641627051296061275732223610878127119,5394.96689318594601116513205704692718051,7860.013579090908880852609637214529400227,0.2418169333956681258188800175765867834235,3725.341385082383776780171826826932355482,4114.826767795092379562493182270301570976,0.299221036900560677408211770784307182788,2413.235754966627111544715283472576353651,3745.186811295816501290116454944227829273,0.3500210322301011400204236902222884032904,2569.352541025272499708324617496029160371,3235.920183106069633777197745648098364088,0.2482292484008332763507331536236730662145,1574.370068477512658526758089534251407312,16464.849406038338180160196966700769067,0.3443006778404105885646707108763276055158,11110.9632696369917465492469846701401085
1980,64467.016565662245151018588976109024589,0.1877258403551701809281576830800010046604,23720.1647255600592469799516773701850738,26150.9624366825104555644333539761292914,0.2036677396333834030982155903869450433949,10439.1705210846205696257520225949801285,39037.6374420330373166817671946738037859,0.2234713300354908592477880540100191275083,17098.6338108042240958829669901083942869,27984.3354624640763938821617494532707306,0.2414723037179544709325171332066433697508,13244.5862261890087121822623456436249012,12886.6750053505268611173338406976744946,0.3101048769084524929536876307059383724517,7832.592701935174746460399210444818567447,11209.8475473828480111335077151045658845,0.3115603368471156635436315308240673398738,6845.386000620130441007324021894863281015,1676.827457967678849983826125593108610141,0.6866513812318242911249755015646051749674,2256.735944597872726076750165836295945672,12198.7827189051438933901676658394673048,0.2515296657329128965733652450785974154434,6013.9772496839045674276869579079121826,52221.3929969207259494747900704941431657,0.3262121015218290313600953799224674292453,33389.0906936887575139115476706242333696
1981,29762.5766373808085640328556608533426101,0.1973920781483122040521706764333814045806,11514.7978328619670935070141323453587067,18726.6821157738888741268074293662013417,0.1529263814232700288150530980512425816879,5613.055314777167552397848084505080371674,26776.9519321715428436222502038321694786,0.1529918256025678887897970500865972428644,8029.443329943258615543644635602605076948,18061.3814274982176287377740868077103703,0.1687015940624469464925721970974265998088,5972.088322066092816795287034736812650091,8050.269816397653969495442774465968136924,0.2435602121128549111695244519775329841291,3843.021831133151277781096957493579651575,5883.617559428030723078587693874367560727,0.2749652826908068195968796222598497751005,3170.869508326537786440449103568016572449,2166.652256969623246416855080591600576211,0.3784313705538667196347538695698642016178,1607.061198912540577297462984104139153099,631.3542559311095170144128365219907711,0.2495664336896578511210257962344268371264,308.8270668931284500569978139089369794,34893.4338531729756238291403896074193506,0.3010142629211422428095500593286295259192,20586.7056933169712477951325354890429671
1982,14735.1521868899374625691829064248173307,0.1963695727858933765993775488594072260022,5671.32965815441109348453905050189585248,22897.9845473779977371070562205864264277,0.1812461510725872236131944474405714506567,8134.33627040240709887594870462231474193,34519.718833515206316452607140636082435,0.1884251424325875701451080486365978168403,12748.5905583584376671743104239000023866,25512.1197950923581705672824277486074787,0.1963338967093895035101484320087043117001,9817.432029666979334598333411084117982823,11621.7342861372085793455509200496560073,0.2323966416881466570581828931966355055775,5293.669956632944364872948301503421503384,5762.879674330626851559850602137019403587,0.3786595215397443511200122879778934119835,4277.051749939379702905538790373139028243,5858.854611806581727785700317912636603738,0.2493732494290474791577341077413001146703,2863.641560457992980098895493242419426296,409.909395534674612703703848815372297421,0.2658052938802645801195852533221043243325,213.55393119497656611207481738354154444,57346.877675716536690783650022978038539,0.2870386943863553783641144011034562503355,32263.1148745365414635222306778993700858
1983,7760.920845504079124185810405620835155335,0.2272751641491619177266563081419224142015,3457.174535856760481226616466967827087008,11291.9425209864322176055577114801295932,0.2021478216490043028617173041335087827594,4473.977502294219721195465043102141445325,16947.3824995974077927298525359645101906,0.1968976280261029411541314830864344801357,6540.322854226761471783914036464243845698,13195.0865393584117618337305157197163816,0.1934335064146219582066764510500908554136,5002.648839234855306783416661322810587599,5655.439978610975575124294824484380597443,0.207414148187770903136349563223232725721,2299.11580094969515776961525316448790459,2415.501323384812748315276933173903246419,0.2899743793277815079965380416637571530633,1372.84965414733400529859737593935727454,3239.938655226162826809017891310477351024,0.2583882740366748223401766997808730065931,1640.83782793284319538984183878019892719,1425.58055242476775173312443595027344177,0.3389326025591696735903847021345749098227,947.024424510488096812840908019564144119,15992.6494047428494474066046775497520825,0.2210135766831499192847439307347871955738,6927.80158534045670692847686015695801759
1984,5865.015279994382505514212585731337267843,0.1702126779344567566016355234747328215287,1956.667915591329032488725584583941738434,8894.941872284662130748034551559038872986,0.1911337365840960006144856683693511446709,3332.242014426280511620881718554058504467,12625.1085630133644840539873992810694832,0.1913321866362271258271755315161446276709,4734.555670646960524171698652516683081001,10016.1292646530484314982935509142106475,0.2001066193326340472757297072628595696895,3928.415781258831356217245192199986371058,3730.166690728702353305952847722030610179,0.2204935457883111013917933662196932721117,1612.056252839635173848248986638142225534,571.185286498734816116491978873073597894,0.3713937838591845653249574607547681877496,415.783943081416759136610578515513599417,3158.981404229967537189460868848957012285,0.2443804673731285892494075270387173242609,1513.106969897933373238935327599661222708,1573.182546838543896926548870401558768665,0.2290888621805332475066648396267466990365,706.381255328730327443612488116042698716,10784.595813873718431122734967489471507,0.2597153360029207457433176589293730380587,5489.81285389357440020140586881832259402
1985,2533.164843968040694972700983258380534047,0.1691991715038100216706099164274962125071,840.074410048662515196084862576597063294,2684.957361869014910095638600901620710376,0.1843784300434106801921169568070944532986,970.294517305217053865758047925091203892,4143.014338603073177076979837494733205194,0.1775699177362831272041039786126690819043,1441.922441960538740422133751764163387039,3169.472221367461469022890682166123334225,0.1880115588773759353043219850380831281433,1167.958929789358512841039716307242169267,1458.056976734058266981341236593112494826,0.2170203216337946048581267647283437266614,620.198868340398064239071859487664970574,587.892089937064053000484970409951299882,0.3359678142622569859537830837757740863314,387.125128137322205473535015807348938981,870.164886796994213980856266183161194945,0.2875443252089322209603460275941608882006,490.413511381315247548940523213567727027,675.32780390001461152684799679045566871,0.2188749989922902628797574059316161169455,289.712249900239336945334204071094771818,2717.972692784039779120416481462606900042,0.3071174574817049404356057340404426503119,1636.084251308573345617547910086391548046
