"SURVEY_YEAR","NUM_MALE_LE102","CV_NUM_MALE_LE102","CI_NUM_MALE_LE102","NUM_MALE_103TO124","CV_NUM_MALE_103TO124","CI_NUM_MALE_103TO124","NUM_MALE_GE103","CV_NUM_MALE_GE103","CI_NUM_MALE_GE103","NUM_MALE_GE110","CV_NUM_MALE_GE110","CI_NUM_MALE_GE110","NUM_MALE_GE125","CV_NUM_MALE_GE125","CI_NUM_MALE_GE125","NUM_MALE_GE125_NEW","CV_NUM_MALE_GE125_NEW","CI_NUM_MALE_GE125_NEW","NUM_MALE_GE125_OLD","CV_NUM_MALE_GE125_OLD","CI_NUM_MALE_GE125_OLD","NUM_IMMATURE_FEMALE","CV_NUM_IMMATURE_FEMALE","CI_NUM_IMMATURE_FEMALE","NUM_MATURE_FEMALE","CV_NUM_MATURE_FEMALE","CI_NUM_MATURE_FEMALE"
1975,34107492.61991604873418251028056251695504,0.1947508904849319728850347556128669226448,13019230.53747631596910201657696302186808,34871737.33395184201936504192421773950285,0.2750890916805430384241160576638896412836,18801955.71509781572894568912503680304695,104706868.957864522572947767053693650012,0.339057896243234616689048538639842660178,69583313.79369640191211738601692973614321,97693452.85095856184444460340141230414115,0.3563045744900514738391683485812264050352,68224903.33110840499042658834815496997947,69835131.6239126805535827251294759105094,0.4027322590801027898335433677220983577793,55124726.23122717501393339979583265180939,66705764.57174011990565452142090098898892,0.4185927831868257627970411660283609938836,54728201.22751211637454815838103176560141,3129367.05217256064792820370857492152033,0.3294783449373556124060292905757178963263,2020875.00702056104213676906582540678905,4711275.97985085926416225355101120361384,0.4282451690352594766914376343642206157693,3954459.10959145833411072812746469445352,68151126.08519809434543981229721784286977,0.3514248138369262687866806345729788348761,46941993.72264455488114009116438040880191
1976,87781203.67044086658865492355309712567152,0.4591065624003580384991995701273475462891,78989816.25458352369273236754419485027098,20765580.80995793056939914644071633135443,0.2501689645821642609207863648814363998772,10182011.54634189334274305353386253081762,64627677.54834731603820035464979249007889,0.2023979637494715447073134523308169335406,25637800.26178015476708381036692201938117,59489444.32272619782193795839786346317209,0.2068211647107288099185929543902275061358,24115205.27912776027195263743959371897245,43862096.73838938546880120820907615872454,0.2274715782429330862028314209492979398936,19555665.52544625678928421777339655013273,42108259.14199296623486957903824281675651,0.2343045588393994796950261876221565837523,19337667.88024915313454764254047048190156,1753837.59639641923393162917083334196797,0.3345287252212859253600271421904601479052,1149949.74852061026083112767338337799508,76215587.95802344672995814730385049349029,0.5241304038849430537049748861241241201041,78295937.5215837734764101372655312620796,58431010.50910893920846675006517128281295,0.402375962268539847474702858154743235738,46082018.79665471270036179481731315691018
1977,168995368.619367276947007190337958486376,0.4520169450749564286419723665145331639177,149721989.700079405148701211524717885359,15233857.06872327621494965799152042142389,0.2824549848844850498732285021942085945417,8433642.5814341318773085543507657765627,49108394.41121418107631931194838708380019,0.231978977728897176334909780101896570328,22328545.66150506802631869185236971677736,45507376.05988585858510799875381014941467,0.2397460216869425219827799170996943472367,21384016.24082771821911640873365305531003,33874537.34249090486136965395686666237627,0.2572359816016441234751114818023716855758,17078949.73461050655735433073787463706794,26616698.22912764056531226140654048324731,0.3044265806949932074399338472183942774975,15881547.64531626460999942892403663419366,7257839.11336326429605739255032617912899,0.2860118718651237727199017183483272047143,4068623.17499751745987834220269075324566,260066048.01633010700758692462806269229,0.627801262684440884327534636485121976689,320008794.918968768404611469333612574857,49671060.82060247703387279588218342188966,0.3848634804318111902882020690665108841961,37468491.59454820001124885758436571577712
1978,147665232.112242031621930497194049638622,0.2085732622223811607934809595603867289134,60366077.58981185533391066048803019343113,8470758.0016518338646474038146464418372,0.2012282542353026895155949528725239064009,3340929.45565535477763076513936481181974,19245002.22117943150885371471282614521834,0.2304664423549164747853490101164291511294,8693241.30225427037925062814877793298129,16203579.65337905248572038293996716756887,0.2369411256562121346354582229386668152931,7525017.02935418754734115327737876944845,10774244.21952759764420631089817970338108,0.2765632310459652279856787851202818624522,5840329.19512449792854436102457116672494,3591407.07009648154483529486825631196387,0.2720192548960691387819103785009400836231,1914786.47546279453000826612958627991298,7182837.14943111609937101602992339141723,0.318426700684390965231585287090142645942,4482925.98469138701221446832893968161273,143423132.490417977949851785643654880815,0.2891099317447111739382227632403458396192,81271502.00803812190083210090927529063297,53815166.20146065070246641026116897432528,0.2795050650264651416177566879007971863073,29481558.59595660499791028047646086114075
1979,135848375.799292924986278083291468687262,0.2906935614902757487992687334628106017548,77400886.44018105779647850228597208337959,18236205.36749974819029506435816224339575,0.1993591811440392786579234482894748091505,7125687.73970899601969110851709985797608,28181230.73752742440642463001421038929938,0.1965806811463030287799868010344823505708,10858175.64649157460497224003932252362106,20677496.14732340863534696637621767881343,0.2118469501497979661794912884738579897913,8585710.41126753683704825158833628868638,9945025.37002767621612956565604814590378,0.2330176405959169366625656911130277932318,4542038.04088515440420586463441505986494,5334687.1690885753008466571615625857441,0.284019050776201443717983145903346872703,2969699.46046693607425135738892868429333,4610338.20093910091528290849448556015955,0.3322994586650193929489217226594425510778,3002745.26133205636819377602566331566264,48973783.91591481047366752166377591957952,0.2540028176693844016338587385397758590583,24381379.04888492246788104356905025784348,118326515.164235102495533416344613342991,0.3476005596218251787975473334346601986401,80615511.2628094695713873620626423807018
1980,476278030.72288196821386230911167116928,0.2112133100017409977370964770762550963433,197168668.326177952750184622165397238376,63257224.42580469179617547502802037201119,0.2011746282286649736916738053219545048332,24942467.26901142870249496945418329652412,79975635.88201080229478792252022082930003,0.2108566970422800672251371157440256567745,33052260.91483623531326047267360183329133,49009131.43250421660370316844154449362201,0.2269368347266746190984499807767970219833,21799075.23359232370656078702797171421313,16718411.45620611049861244749220045728908,0.3017176700343179996666574327074085077327,9886710.69643345199084261762935686524813,14802471.26017631252506377543057167014962,0.3048847470328770465805043515256617206398,8845573.50301576400317981205551980705088,1915940.19602979797354867206162878713944,0.6512446886974270215761350106734541720533,2445581.91799157364546671906789382304456,159215724.834698538779596186694700709434,0.2446588475393558521371161401050416574249,76348930.06647306434320652167092102105755,380364298.729617017261597323287686265804,0.3481891385194341418800971237470779846577,259579886.296499532948864839837557457845
1981,156059733.026434040162180211851492877288,0.2028356008158911243419797731663485403504,62042760.63470525826272611150239218374416,46155720.98044314572806230865379099803177,0.1565986477103377790981270963971524873891,14166730.03968080233410403380526426826291,56843491.57584851976255454676887316940184,0.1503655633943598337750541836979349494878,16752715.12676581914108257335198556940986,32284813.34749994273927209707537641161264,0.1560439175386645229843146933623277117758,9874183.55342697533540962409675438082077,10687770.59540537403449223811508217136984,0.2329734621354557714691188960617165659817,4880335.15951737852727208000187355689618,7784365.97955763949249733545287879653562,0.2589757895603875664737487795810826439352,3951286.15853460055408990843712825487454,2903404.61584773454199490266220337483421,0.3754866091465393158186310197633452842961,2136771.52620274980173536002925890334053,10276214.89125613088672672824362159664697,0.2183773585322596251666317936801751029258,4398421.62077827548297476347999340682183,268673317.635172567480217652458313023182,0.3240349771215225424968856981627693857339,170636722.572830335830982293858530667999
1982,74263771.6054414954375590568246687571307,0.1808174485124742767762830131272935447878,26319243.96927377085450149827714194838831,55007902.3123712090893927828484834737697,0.184283732996486497940402563914104215513,19868640.70156246310471043655617960565343,71282981.75113115219439841235225633191089,0.1871240770597460798964158703378084036165,26143973.85368439299523108098285599239676,45982449.84870225242082601544510908445277,0.1933324239633437385993859726314268205442,17424201.03848409022603567362215023434839,16275079.438759943105005629503772858141,0.2317650089667083781950926951826501850987,7393108.10683385517118015326466053303992,8065424.04198975162767496502724269589948,0.3721817535636237485824353869173270918038,5883535.17983663356650063338673828334495,8209655.39677019147733066447653016224151,0.2524305607975221577866807635597473582965,4061841.11489176327678819615654471912058,15489512.24462921088881595282734175046239,0.2286796971269591549230575013005404088072,6942588.45874242108797793746035822009499,433080568.715338755760279501039183126618,0.3130471535988101077677947595908010410582,265726293.057969746413939876913640025522
1983,107952481.235106216415192351246197737019,0.2772451826628277581004349296583984841522,58661438.54270771740049998572124838428847,26547134.52420761836063244186460389043478,0.2034705687351391794891794212517890273075,10587058.69746039419737273703508597016284,34608099.73659949943283034837309884343565,0.1995869198679236951033867021434253843324,13538355.09666319904796820299664375364335,24050433.50472121543684208992713106910647,0.1932365391200398574916771642330598001293,9108948.16818639774516072079356967272269,8060965.21239188107219790650849495300096,0.2106684373173046549562670302447900268555,3328454.25134495470851249765002441535369,3357011.19170975926403109586881792470024,0.2893001314108655126752410650254954970068,1903520.20666238400306598318822701622807,4703954.02068212180816681063967702830071,0.2656978168815994498740489697224882393581,2449667.4154530572682224609363042097319,96458460.63802036233781345818606050000126,0.3380129666530016040916356050383759926077,63904252.46051652735139097228418903562991,109913388.667027531560230991159225952587,0.2241971352770213953552297858952540909852,48298843.06076530760382756855205945950591
1984,67187295.58901037938112665792016613099841,0.1531492506652431805752305881719361870923,20167780.58841503059038021692637720177786,20508679.03864675919207032871142132938734,0.1903686113233550664205706398146552007296,7652249.14738062491397996871774829149692,25848663.0381550586902531635546852872293,0.1896902950014070116675670390539728387234,9610351.41351521346999697333889717467599,18478586.24260547164503741911649645620408,0.2000135907818898510974367320798128901642,7244098.03843444675085458702956186198745,5339983.99950829949818283484326395784195,0.2229451095039163539013403030677591802752,2333425.70233829652810344312626418940622,820321.6353913755177352510631247968431917,0.3652272052708916677641106452693694287429,587223.4055017893364295711194028147065,4519662.36411692398044758378013916099877,0.2484887294026998703929112787256315274907,2201246.91004968950725966462192373461328,59032175.05450040936664334947454489975802,0.1847455849182482567492306358086378211787,21375630.07050259951347643061490082874004,70102172.53821751894747461569763318629405,0.2679759758479447331894962706688639056514,36819968.26618007148626860635824206195737
1985,28598103.68738747436555642921447871304533,0.1672803500814918741528652549404035836604,9376445.5611262415138113793984215629995,6347473.08224603931418771259928041094098,0.1855990762016184207320651358622636338617,2309046.87494782862371512064655780479293,8414120.18997083106243366392631910781333,0.1777723602838857016030912015722182566736,2931764.09153148630996017859453016884327,5675393.69093483261661274632350018979121,0.1876707297557176866033945059722958557518,2087606.34023232279388574918007884994419,2066647.1077247917482459513270386968723,0.2182291697918300177125424732884730882073,883965.2578400772796728126696596181558064,783669.4321797843931488749735055822013709,0.3456775238660713848974892319543447860924,530957.9413370585390499708619718663181765,1282977.67554500735509707635353311467093,0.2845020235175410232832987844227134844291,715419.0998479561662873300264174179900101,21015810.79463771767875663369997033101708,0.2045146574256465272374745165763166089031,8424161.03656757281821620184383015779743,18571172.00501631934092649630948510694388,0.3378644132062783377453629776164053460739,12298094.73877429647021250070841725629968
1986,49279500.42936595554439503109141178620318,0.234784681934065451706913314709311188415,22677340.79498952235706750889156518954251,12368094.17787648584076211596404047792335,0.424282202208222108337651882604927653169,10285221.98041992645505784405445852949996,13451438.36184769220289123057222632307545,0.3977404727201262103989790302997783567237,10486355.64750160479281015338585914526818,6473845.06647073073681588946030825697034,0.2934406581493902177474603926301958671872,3723391.1398422140150191096207529331937,1083344.18397120636212911460818584515208,0.2838203326326541412698421953481527107082,602651.2090347037429979589137907263651362,213351.0116710052450202431201527055238884,0.396394601265403151559468407187497174283,165759.5308337610565790007640835597539544,869993.172300201117108871488033139628193,0.3095087191900560013094770714788470252068,527770.1260269487511976115082493172233193,24108056.72528671747532883786589939559549,0.2484969909945430600287709123902922511587,11741927.92772063310556637696084946242187,8289002.83690835249446604695811185952364,0.2808688811580077256921841054187538649039,4563120.9873272818643327687274419795612
1987,91016647.62465055183003085566717658854201,0.1286293058106777776830531712405531359,22946520.07430079495742212943031216005905,10606008.89194607020656347609258685768822,0.1917712869399466031567134167238513104874,3986498.83002982931609939738036880675966,16181379.03434792249366499509392864622762,0.2081636946216370134050458088344540995011,6602016.26197140270386036480885219746737,11632091.09325745904563876896732340964085,0.2419496853640226904351250088687631107292,5516186.32907301415288760181501545416015,5575370.1424018522871015190013417885394,0.3431772474601442438498598177496935661391,3750146.75092024262333560741286892403675,4658426.11289816229532208145904134241976,0.4023022667477213832927075607776103578477,3673226.95400358637806396156338970104819,916944.0295036899917794375423004461196369,0.265836576119473624807897117279740830641,477764.2321410509253125228915172792368737,74873674.38151072032547542667942059644183,0.1490090622535529869644057727711202222489,21867437.7738509012716285252037910146588,12930658.45450303096524869782432546115087,0.2085740845985658553547689157278218788515,5286120.49079316495396391342090542788357
1988,197979085.727728515234583281870657364095,0.22692867458220918016416687695753490331,88057177.7776143564433152303064340332297,26431938.70595132005969669737404227272872,0.2411719501868909012144039585404577491905,12494298.72167190480656178304670456421727,39882678.18113420656988331177572554381826,0.2697392633809151529077799212420737061972,21085531.4991049861702976497290641060655,28823768.54167275043187633936726083979227,0.2979604607373772995754785359516015615064,16833152.97553409561802893485393322796329,13450739.47518288651018661440168327108964,0.3563989228125449611794003966986290693763,9395904.95757521989596009441816406939097,12209592.34139411914345941210258343587435,0.3923910553756858175980403007463637105135,9390232.25611119735511378558331817188406,1241147.1337887673667272022990998352153,0.3163539155711614430295825528782691226824,769577.8409250414257730192663508036905255,129883965.367957745629825742080502835467,0.2319653443593423723743292722381999291656,59052014.35653702589074060115695493611637,38125846.08103962162598485409054982841688,0.2488478378857600890772432910637368357374,18595567.35507069917267088540108147696276
