Year,design_mt,design_se,design_CV,VAST_mt,VAST_se,VAST_CV
1995,5476681.765,1038789.018,0.189674891,6587968.729,549671.0424,0.083435588
1996,3131500.664,278003.5669,0.088776467,3909628.116,240972.8971,0.061635759
1997,3559633.259,422421.1495,0.118669851,4341240.287,275814.5565,0.063533584
1998,2691789.873,295162.897,0.109653023,3308970.097,204404.0214,0.061772701
1999,3791350.175,446795.4618,0.117846002,5581437.391,402050.2953,0.072033469
2000,5099720.047,573613.7978,0.112479468,7183418.426,509729.4211,0.070959172
2001,4192777.836,339723.3017,0.081025829,6034862.687,399073.9562,0.066128092
2002,4942242.052,447671.4131,0.090580633,6657220.792,392347.4791,0.058935627
2003,8393318.318,2041680.161,0.243250653,10919516.28,761999.8755,0.0697833
2004,3864305.106,357581.4738,0.092534483,5290930.098,338914.3715,0.064055727
2005,4860820.04,450080.0632,0.092593443,6866013.459,463855.8857,0.067558255
2006,3041698.459,282913.9889,0.093011846,4168807.18,271578.6243,0.065145403
2007,4331624.55,447093.087,0.103216029,6736452.521,542669.0868,0.080557101
2008,3018183.104,344725.9304,0.114216374,4257815.898,334919.2585,0.078659873
2009,2277379.116,276198.5103,0.121279109,2803845.26,228480.4291,0.081488245
2010,3729191.072,427823.415,0.114722846,5265174.437,413194.8221,0.078476948
2011,3109171.84,282720.9894,0.090931285,4426723.146,318340.2162,0.071913288
2012,3486170.171,344090.2483,0.098701507,5037554.343,329257.2174,0.065360529
2013,4562847.981,364974.546,0.07998832,6602485.781,432671.2735,0.065531572
2014,7425501.382,485557.4012,0.065390521,11211884.08,629846.8857,0.056176721
2015,6392216.793,401930.9962,0.062878186,10290220.23,586802.6546,0.057025277
2016,4910453.763,450685.9785,0.091780923,7063379.608,416092.8805,0.058908469
2017,4815703.766,360145.9529,0.074785736,7161002.364,415381.8043,0.058006098
2018,3113204.424,394435.0138,0.126697435,3931090.366,267071.4445,0.067938261
2019,5452008.884,460023.4027,0.084376862,7732953.858,443352.2654,0.057332848
2021,3030988.07,216858.1884,0.071547028,4297638.945,253546.0246,0.058996586
2022,4153971.447,331103.7419,0.079707756,6051028.709,380094.9824,0.062814936
2023,3154667.817,275477.9071,0.087323903,4451010.308,277213.0689,0.062280932
