Year,design_mt,design_se,design_CV,VAST_mt,VAST_se,VAST_CV
1982,3381305.2084300886,291225.3955984968,0.08612810073235308,3521368.6070884,179462.964535082,0.05096398149680465
1983,3452463.1710949587,206261.58790946356,0.059743313016731504,3738517.9195966,166908.274819814,0.0446455730344136
1984,3141188.420565819,186901.24905681718,0.0595001712833103,3361669.91012075,143441.367719073,0.04266967654594042
1985,2398080.618037712,157388.45197254317,0.06563100956185958,2587383.12007674,120629.626763072,0.046622251581935885
1986,1909917.610484912,153940.74588987493,0.08060072593958159,1989414.76174262,95207.0441469815,0.04785680994122375
1987,2511839.2149314675,194991.8439643891,0.07762911049611478,2588701.46153807,126214.000086391,0.04875571863408355
1988,2180754.464279983,208670.20982311442,0.0956871638880312,2208510.00940631,102121.979199496,0.04624021569499173
1989,2313624.8514987743,173032.22952192446,0.0747883691730894,2394868.63830687,117028.073542756,0.04886617648702969
1990,2179613.453823549,150791.85379770116,0.0691828422756233,2289380.48247795,108674.441592203,0.047468929880356704
1991,2391856.886017234,139975.66551394432,0.0585217561854308,2577423.40127667,114553.278381036,0.04444488178554387
1992,2201520.75518717,196409.21854935467,0.08921524727240478,2123163.03540304,122146.793826589,0.05753057668668477
1993,2468434.2561738333,158602.96474783652,0.06425245653237577,2568746.36831677,114064.819016758,0.044404858503606016
1994,2597187.9110918455,172478.3366807862,0.06640964866045335,2684046.85127489,126471.318185835,0.04711963881173037
1995,2012395.3316758415,144187.15204297585,0.07164951626224586,2046308.0975044,100262.890410718,0.04899696704176406
1996,2216501.4799586674,194417.46760035018,0.08771366469106784,2281573.82388446,105819.469910656,0.046380033292323895
1997,2161395.2259868467,129026.01047506965,0.05969570438750235,2290807.86001158,105172.191312001,0.045910524906034395
1998,2210176.8898115084,140568.85424236325,0.06360072575654858,2360005.73926455,98049.5701631341,0.04154632699905609
1999,1257181.0526365715,91350.96928666251,0.07266333603666746,1292915.09268583,63399.0626956391,0.04903575111335223
2000,1589782.4310447439,101318.48831559838,0.06373104038457374,1696589.88551807,79877.2709134515,0.04708107221154405
2001,1679523.0645515868,121940.67365807116,0.07260434597879602,1748655.67027633,82925.2213733087,0.04742227002312267
2002,1910068.9092502536,131157.3259632972,0.06866627969709192,1972152.71272364,94498.97852242,0.04791666381246524
2003,2158129.6931818686,207578.34607389322,0.09618437053606689,2212830.68209715,100430.31828698,0.0453854509066188
2004,2542073.4344851817,193968.96842218054,0.07630344811870589,2616294.99407953,121640.56330968,0.046493443432389335
2005,2820839.126185498,364316.6689408054,0.12915187738247785,2714585.71981628,129498.250226675,0.04770460895058391
2006,2132477.870406415,159018.48959011654,0.07456981936220997,2206350.31447977,102046.117545768,0.046251094794903046
2007,2153087.296296771,192643.01993740344,0.08947292581621849,2191060.27174454,101692.268623742,0.046412355668689016
2008,2099671.3700461816,255366.00474119006,0.12162189206569662,2060386.10136854,98352.2797469891,0.04773487827434965
2009,1739209.1240583032,152022.13981998697,0.08740877546988464,1710288.35961112,84312.8350826143,0.04929743841663349
2010,2368262.7894852473,280170.7547088456,0.11830222387176127,2287106.05956602,133397.838139597,0.058326039398850324
2011,2403220.7251662943,243211.6453725838,0.10120237514003397,2299205.82544436,123193.354992211,0.05358082935806838
2012,1951405.2238545658,139100.16354732384,0.07128204939031704,2031563.14303464,104324.875990921,0.051352022381684924
2013,2279024.3588450984,174176.91375719424,0.07642608692671404,2286126.16355424,111119.081992915,0.04860583976702239
2014,2512256.1769946464,231751.22546860835,0.09224824585598071,2485514.42966922,122422.899602487,0.04925455195155693
2015,1932347.1025047048,145607.9307914331,0.07535288592960154,1947155.29432183,93978.6450137237,0.048264586439396094
2016,2859811.317715998,165459.41194713995,0.05785675821413453,3071339.4930203,134412.233514095,0.04376339177728491
2017,2787687.131145511,241156.27633119054,0.08650765490749139,2855445.61878216,130453.48763668,0.04568585960054742
2018,1892925.1856064303,115322.645561378,0.06092298123469283,2054869.05356065,86291.1263079255,0.04199349158448874
2019,2006505.3403326026,210760.6728626922,0.10503868024978995,1977922.94445448,87307.2142584181,0.04414085720740644
