Year,design_mt,design_se,design_CV,VAST_mt,VAST_se,VAST_CV
1984,1112214.7,72576.3,0.06525,1798806.81935002,127859.701871223,0.07108028527344797
1987,931598,73962.9,0.07939,1565434.06325199,106168.02564848,0.06782018364154505
1990,1907176.6,244307.6,0.1281,2516690.78755968,175774.891348562,0.06984365827436546
1993,1553615.6,100226.9,0.06451,2817650.43222038,176492.976662485,0.06263835096229593
1996,1639631.8,114632.5,0.06991,2488695.83936553,164935.688621831,0.06627394397214882
1999,1262151.2,99311.3,0.07868,2256249.84430687,151698.46383281,0.0672347808535417
2001,1360737.9,151699.6,0.11148,1974800.08205984,165584.695144399,0.08384883950971068
2003,2819095.3,370651.5,0.13148,3092815.18686633,202725.5320906,0.06554725059275315
2005,1899586.9,125802.2,0.06623,3475427.11912549,239165.302292027,0.06881608910049805
2007,1936020.2,150086.5,0.07752,2599558.60480845,177164.117054125,0.06815161494202183
2009,1772029.3,159402,0.08995,2549893.67447807,169350.589986852,0.06641476532213283
2011,1747338.6,179800.3,0.1029,2656751.77412826,185561.027895109,0.06984507536689073
2013,1290727.1,130348.7,0.10099,2048240.5895665,157169.762588342,0.07673403377950157
2015,1661280.9,134017.7,0.08067,2211883.78786854,147146.056066643,0.06652522020989125
2017,1053694.6,76190.5,0.07231,1837444.59500214,139255.557767936,0.07578762273796551
2019,1076726.7,67326.6,0.06253,1886450.0980722,141906.115676853,0.07522389053485677
