Year,design_mt,design_se,design_CV,VAST_mt,VAST_se,VAST_CV
1984,220672.3,56092.2,0.25419,432833.628617224,64805.0813276343,0.14972284278064868
1987,241205.8,54843.7,0.22737,444456.589233022,81444.3194794935,0.18324471152523164
1990,157295.2,47129.4,0.29962,443860.030646965,66897.6636831797,0.15071792696826175
1993,483622.5,108643.4,0.22465,614791.647074774,92880.3108992411,0.15107607811715199
1996,771412.6,203553.8,0.26387,823843.05870796,128703.902120314,0.1562238107852258
1999,727063.5,388566,0.53443,612877.484199104,101837.467416689,0.16616284664098593
2001,673155,222003,0.32979,1118366.94636658,281965.956672092,0.2521229347739224
2003,457421.5,72014.8,0.15744,941221.070892066,149918.078629403,0.15928041059186485
2005,764900.8,146628.1,0.1917,1424885.41643296,203467.699692145,0.1427958328056325
2007,688179.8,114172.2,0.1659,1301206.10982014,192073.60503931,0.14761197598884582
2009,649448.8,117760.6,0.18132,1169836.58891838,150740.612365879,0.12885612725214243
2011,778669.7,135506,0.17402,1649027.70075044,235012.413024068,0.14251574604666647
2013,1298443.2,213516,0.16444,2341849.53046935,354746.361949505,0.15148127893528976
2015,1140406.6,176812,0.15504,2762316.02811512,400530.397615013,0.14499803553915477
2017,1570358.8,350209.6,0.22301,3607432.04555055,541525.783446539,0.1501139249773155
2019,1212144.6,164066.4,0.13535,5432367.65173258,760919.58430031,0.1400714445491599
